session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,J,J,True,12,12
1,1,3,D,D,True,12,12
1,2,2,S,S,True,12,12
1,2,3,H,H,True,11,12
1,3,2,S,S,True,11,12
1,3,3,A,A,True,11,12
1,4,2,A,A,True,11,11
1,4,3,D,D,True,10,11
1,5,2,K,K,True,10,11
1,5,3,G,G,True,10,11
1,6,2,J,J,True,10,11
1,6,3,H,H,True,9,11
1,7,2,J,J,True,9,10
1,7,3,J,J,True,9,10
1,8,2,A,A,True,9,10
1,8,3,L,L,True,8,10
1,9,2,G,G,True,8,10
1,9,3,D,D,True,8,10
1,10,2,D,D,True,8,9
1,10,3,L,L,True,7,9
1,11,2,H,H,True,7,9
1,11,3,H,H,True,7,9
1,12,2,K,K,True,7,9
1,12,3,G,G,True,6,9
1,13,2,J,J,True,6,8
1,13,3,L,L,True,6,8
1,14,2,S,S,True,6,8
1,14,3,J,J,True,5,8
1,15,2,H,H,True,5,8
1,15,3,L,L,True,5,8
1,16,2,S,A,False,5,7
1,16,3,A,A,True,6,7
1,17,2,L,J,False,6,7
1,17,3,L,L,True,7,7
1,18,2,H,H,True,7,7
1,18,3,D,D,True,7,7
1,19,2,F,F,True,7,6
1,19,3,H,H,True,6,6
1,20,2,K,K,True,6,6
1,20,3,K,K,True,6,6
1,21,2,K,H,False,6,6
1,21,3,D,D,True,7,6
1,22,2,A,J,False,7,5
1,22,3,G,D,False,8,5
1,23,2,D,D,True,8,6
1,23,3,S,H,False,8,6
1,24,2,S,S,True,8,7
1,24,3,A,A,True,7,7
1,25,2,F,H,False,7,7
1,25,3,H,H,True,8,7
