session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,A,A,True,12,12
1,1,3,L,L,True,12,12
1,2,2,K,K,True,12,12
1,2,3,F,F,True,11,12
1,3,2,J,J,True,11,12
1,3,3,D,S,False,11,12
1,4,2,A,A,True,11,13
1,4,3,A,A,True,10,13
1,5,2,D,S,False,10,13
1,5,3,S,S,True,11,13
1,6,2,D,D,True,11,13
1,6,3,G,G,True,11,13
1,7,2,K,K,True,11,12
1,7,3,H,H,True,10,12
1,8,2,K,K,True,10,12
1,8,3,G,G,True,10,12
1,9,2,H,H,True,10,12
1,9,3,D,D,True,9,12
1,10,2,H,H,True,9,11
1,10,3,A,A,True,9,11
1,11,2,L,L,True,9,11
1,11,3,F,F,True,8,11
1,12,2,F,F,True,8,11
1,12,3,S,S,True,8,11
1,13,2,A,A,True,8,10
1,13,3,D,D,True,7,10
1,14,2,F,F,True,7,10
1,14,3,J,J,True,7,10
1,15,2,A,A,True,7,10
1,15,3,S,S,True,6,10
1,16,2,L,L,True,6,9
1,16,3,S,S,True,6,9
1,17,2,J,J,True,6,9
1,17,3,F,F,True,5,9
1,18,2,H,F,False,5,9
1,18,3,H,H,True,6,9
1,19,2,G,G,True,6,8
1,19,3,G,G,True,6,8
1,20,2,S,S,True,6,8
1,20,3,L,L,True,5,8
1,21,2,G,G,True,5,8
1,21,3,J,J,True,5,8
1,22,2,A,K,False,5,7
1,22,3,G,G,True,6,7
1,23,2,L,L,True,6,7
1,23,3,F,F,True,6,7
1,24,2,H,H,True,6,7
1,24,3,J,J,True,5,7
1,25,2,L,J,False,5,6
1,25,3,A,A,True,6,6
