session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,L,L,True,12,12
1,1,3,S,S,True,12,12
1,2,2,A,A,True,12,12
1,2,3,H,H,True,11,12
1,3,2,S,S,True,11,12
1,3,3,D,D,True,11,12
1,4,2,F,F,True,11,11
1,4,3,H,H,True,10,11
1,5,2,L,L,True,10,11
1,5,3,A,A,True,10,11
1,6,2,D,D,True,10,11
1,6,3,K,K,True,9,11
1,7,2,S,S,True,9,10
1,7,3,G,S,False,9,10
1,8,2,A,A,True,9,11
1,8,3,F,F,True,8,11
1,9,2,D,D,True,8,11
1,9,3,K,K,True,8,11
1,10,2,G,G,True,8,11
1,10,3,K,K,True,7,11
1,11,2,J,D,False,7,10
1,11,3,K,K,True,8,10
1,12,2,J,J,True,8,10
1,12,3,D,D,True,8,10
1,13,2,D,D,True,8,10
1,13,3,L,L,True,7,10
1,14,2,G,G,True,7,9
1,14,3,G,G,True,7,9
1,15,2,G,G,True,7,9
1,15,3,A,A,True,6,9
1,16,2,K,K,True,6,9
1,16,3,D,D,True,6,9
1,17,2,S,S,True,6,8
1,17,3,L,L,True,5,8
1,18,2,K,S,False,5,8
1,18,3,J,J,True,6,8
1,19,2,A,A,True,6,8
1,19,3,S,S,True,6,8
1,20,2,G,G,True,6,7
1,20,3,A,A,True,5,7
1,21,2,H,L,False,5,7
1,21,3,A,A,True,6,7
1,22,2,F,S,False,6,7
1,22,3,D,D,True,7,7
1,23,2,F,J,False,7,6
1,23,3,A,A,True,8,6
1,24,2,K,K,True,8,6
1,24,3,S,S,True,8,6
1,25,2,K,K,True,8,6
1,25,3,G,G,True,7,6
