session,trial,staircase,letter,response,correct,alpha1,alpha2
3,20,2,F,H,False,0.12,0.14
3,20,3,J,J,True,0.13,0.14
3,21,2,J,J,True,0.13,0.13
3,21,3,L,L,True,0.13,0.13
3,22,2,G,G,True,0.13,0.13
3,22,3,H,H,True,0.12,0.13
3,23,2,A,A,True,0.12,0.13
3,23,3,A,A,True,0.12,0.13
3,24,2,L,L,True,0.12,0.12
3,24,3,D,D,True,0.11,0.12
3,25,2,J,J,True,0.11,0.12
3,25,3,A,A,True,0.11,0.12
