session,trial,staircase,letter,response,correct,alpha1,alpha2
1,1,2,A,A,True,0.15,0.15
1,1,3,L,L,True,0.15,0.15
1,2,2,H,H,True,0.15,0.15
1,2,3,D,D,True,0.14,0.15
1,3,2,A,A,True,0.14,0.15
1,3,3,G,G,True,0.14,0.15
1,4,2,G,G,True,0.14,0.14
1,4,3,L,H,False,0.13,0.14
1,5,2,G,G,True,0.13,0.15
1,5,3,G,G,True,0.13,0.15
1,6,2,J,L,False,0.13,0.15
1,6,3,K,K,True,0.14,0.15
1,7,2,A,A,True,0.14,0.15
1,7,3,L,L,True,0.14,0.15
1,8,2,D,D,True,0.14,0.14
1,8,3,D,D,True,0.13,0.14
1,9,2,F,F,True,0.13,0.14
1,9,3,D,D,True,0.13,0.14
1,10,2,K,K,True,0.13,0.14
1,10,3,L,L,True,0.12,0.14
1,11,2,F,H,False,0.12,0.13
1,11,3,L,L,True,0.13,0.13
1,12,2,D,D,True,0.13,0.13
1,12,3,S,S,True,0.13,0.13
1,13,2,F,F,True,0.13,0.13
1,13,3,F,F,True,0.12,0.13
1,14,2,J,J,True,0.12,0.12
1,14,3,G,G,True,0.12,0.12
1,15,2,H,H,True,0.12,0.12
1,15,3,A,A,True,0.11,0.12
1,16,2,L,F,False,0.11,0.12
1,16,3,D,D,True,0.12,0.12
1,17,2,F,K,False,0.12,0.11
1,17,3,K,K,True,0.13,0.11
1,18,2,G,G,True,0.13,0.11
1,18,3,F,F,True,0.13,0.11
1,19,2,F,F,True,0.13,0.11
1,19,3,F,F,True,0.12,0.11
1,20,2,K,K,True,0.12,0.1
1,20,3,K,K,True,0.12,0.1
1,21,2,L,L,True,0.12,0.1
1,21,3,J,J,True,0.11,0.1
1,22,2,H,F,False,0.11,0.1
1,22,3,L,L,True,0.12,0.1
1,23,2,A,A,True,0.12,0.09
1,23,3,G,G,True,0.12,0.09
1,24,2,L,H,False,0.12,0.09
1,24,3,J,F,False,0.13,0.09
1,25,2,G,G,True,0.13,0.1
1,25,3,K,K,True,0.13,0.1
