session,trial,staircase,letter,response,correct,alpha1,alpha2
1,1,2,K,K,True,0.15,0.15
1,1,3,K,K,True,0.15,0.15
1,2,2,J,J,True,0.15,0.15
1,2,3,L,H,False,0.14,0.15
1,3,2,F,F,True,0.14,0.16
1,3,3,H,H,True,0.14,0.16
1,4,2,H,H,True,0.14,0.16
1,4,3,F,F,True,0.13,0.16
1,5,2,K,K,True,0.13,0.16
1,5,3,A,A,True,0.13,0.16
1,6,2,K,K,True,0.13,0.15
1,6,3,D,D,True,0.12,0.15
1,7,2,J,J,True,0.12,0.15
1,7,3,S,S,True,0.12,0.15
1,8,2,D,D,True,0.12,0.15
1,8,3,A,A,True,0.11,0.15
1,9,2,G,G,True,0.11,0.14
1,9,3,D,D,True,0.11,0.14
1,10,2,S,G,False,0.11,0.14
1,10,3,D,L,False,0.12,0.14
1,11,2,K,K,True,0.12,0.15
1,11,3,A,A,True,0.12,0.15
1,12,2,L,K,False,0.12,0.15
1,12,3,D,D,True,0.13,0.15
1,13,2,A,A,True,0.13,0.15
1,13,3,K,K,True,0.13,0.15
1,14,2,L,L,True,0.13,0.14
1,14,3,F,L,False,0.12,0.14
1,15,2,D,D,True,0.12,0.15
1,15,3,F,F,True,0.12,0.15
1,16,2,G,G,True,0.12,0.15
1,16,3,J,J,True,0.11,0.15
1,17,2,S,S,True,0.11,0.15
1,17,3,F,F,True,0.11,0.15
1,18,2,F,H,False,0.11,0.14
1,18,3,D,D,True,0.12,0.14
1,19,2,K,K,True,0.12,0.14
1,19,3,G,G,True,0.12,0.14
1,20,2,G,D,False,0.12,0.14
1,20,3,A,A,True,0.13,0.14
1,21,2,K,K,True,0.13,0.13
1,21,3,J,J,True,0.13,0.13
1,22,2,J,J,True,0.13,0.13
1,22,3,K,K,True,0.12,0.13
1,23,2,S,S,True,0.12,0.13
1,23,3,H,H,True,0.12,0.13
1,24,2,J,J,True,0.12,0.12
1,24,3,S,S,True,0.11,0.12
1,25,2,L,J,False,0.11,0.12
1,25,3,G,G,True,0.12,0.12
2,1,2,A,A,True,0.12,0.12
2,1,3,S,S,True,0.12,0.12
2,2,2,D,D,True,0.12,0.12
2,2,3,S,S,True,0.11,0.12
2,3,2,S,S,True,0.11,0.12
2,3,3,G,G,True,0.11,0.12
2,4,2,A,A,True,0.11,0.11
2,4,3,A,A,True,0.1,0.11
2,5,2,J,S,False,0.1,0.11
2,5,3,S,S,True,0.11,0.11
2,6,2,D,D,True,0.11,0.11
2,6,3,F,F,True,0.11,0.11
2,7,2,S,S,True,0.11,0.1
2,7,3,L,J,False,0.1,0.1
2,8,2,K,K,True,0.1,0.11
2,8,3,L,F,False,0.1,0.11
2,9,2,S,S,True,0.1,0.12
2,9,3,K,K,True,0.09,0.12
2,10,2,S,S,True,0.09,0.12
2,10,3,H,S,False,0.09,0.12
2,11,2,H,S,False,0.09,0.13
2,11,3,H,H,True,0.1,0.13
