block,trial,word,color,congruent,rt_ms,response_key,recognized_color,correct,timed_out,no_response
1,1,blue,yellow,False,942.7,k,yellow,True,False,False
1,2,red,blue,False,985.6,f,blue,True,False,False
1,3,blue,blue,True,504.5,f,blue,True,False,False
1,4,yellow,yellow,True,573.2,k,yellow,True,False,False
1,5,blue,red,False,449.8,d,red,True,False,False
1,6,green,green,True,1023.1,j,green,True,False,False
1,7,yellow,yellow,True,509.8,k,yellow,True,False,False
1,8,yellow,green,False,690.8,j,green,True,False,False
1,9,red,red,True,426.9,d,red,True,False,False
1,10,red,yellow,False,724.3,k,yellow,True,False,False
1,11,green,yellow,False,574.3,k,yellow,True,False,False
1,12,blue,red,False,903.3,f,blue,False,False,False
1,13,green,red,False,526.9,d,red,True,False,False
1,14,yellow,blue,False,510.0,f,blue,True,False,False
1,15,blue,blue,True,733.7,f,blue,True,False,False
1,16,green,green,True,530.6,j,green,True,False,False
1,17,blue,blue,True,750.1,f,blue,True,False,False
1,18,yellow,yellow,True,465.9,k,yellow,True,False,False
1,19,green,green,True,667.5,j,green,True,False,False
1,20,blue,yellow,False,1911.3,k,yellow,True,False,False
1,21,blue,red,False,771.7,d,red,True,False,False
1,22,red,red,True,496.6,d,red,True,False,False
1,23,yellow,yellow,True,575.9,k,yellow,True,False,False
1,24,yellow,yellow,True,467.6,k,yellow,True,False,False
1,25,green,green,True,378.1,j,green,True,False,False
1,26,blue,red,False,450.9,d,red,True,False,False
1,27,red,yellow,False,515.5,k,yellow,True,False,False
1,28,red,red,True,585.8,d,red,True,False,False
1,29,green,red,False,790.8,d,red,True,False,False
1,30,blue,blue,True,544.3,f,blue,True,False,False
1,31,yellow,blue,False,1104.1,f,blue,True,False,False
1,32,blue,yellow,False,562.7,k,yellow,True,False,False
1,33,yellow,green,False,530.4,j,green,True,False,False
1,34,blue,green,False,658.4,j,green,True,False,False
1,35,blue,blue,True,496.6,f,blue,True,False,False
1,36,red,red,True,411.2,d,red,True,False,False
1,37,green,red,False,362.7,d,red,True,False,False
1,38,red,red,True,367.9,d,red,True,False,False
1,39,blue,blue,True,457.3,f,blue,True,False,False
1,40,red,yellow,False,391.1,k,yellow,True,False,False
1,41,red,blue,False,350.6,f,blue,True,False,False
1,42,yellow,red,False,626.9,d,red,True,False,False
1,43,yellow,blue,False,596.9,d,red,False,False,False
1,44,green,yellow,False,727.6,k,yellow,True,False,False
1,45,green,red,False,713.6,d,red,True,False,False
1,46,green,green,True,498.9,j,green,True,False,False
1,47,red,red,True,502.2,d,red,True,False,False
1,48,yellow,yellow,True,530.1,k,yellow,True,False,False
1,49,green,green,True,705.6,j,green,True,False,False
1,50,red,red,True,437.4,d,red,True,False,False
1,51,green,yellow,False,618.2,k,yellow,True,False,False
1,52,red,red,True,490.9,d,red,True,False,False
1,53,red,yellow,False,1023.0,k,yellow,True,False,False
1,54,green,green,True,555.5,j,green,True,False,False
1,55,yellow,red,False,611.1,d,red,True,False,False
1,56,blue,red,False,519.9,d,red,True,False,False
1,57,yellow,yellow,True,482.1,k,yellow,True,False,False
1,58,green,red,False,505.7,d,red,True,False,False
1,59,blue,yellow,False,965.3,k,yellow,True,False,False
1,60,yellow,yellow,True,435.8,k,yellow,True,False,False
1,61,green,red,False,534.3,d,red,True,False,False
1,62,blue,blue,True,548.1,f,blue,True,False,False
1,63,blue,blue,True,395.3,f,blue,True,False,False
1,64,red,green,False,401.3,j,green,True,False,False
1,65,blue,red,False,396.3,d,red,True,False,False
1,66,blue,red,False,424.5,d,red,True,False,False
1,67,yellow,red,False,442.8,d,red,True,False,False
1,68,yellow,yellow,True,441.6,k,yellow,True,False,False
1,69,green,red,False,525.5,d,red,True,False,False
1,70,green,blue,False,500.7,f,blue,True,False,False
1,71,red,green,False,364.3,j,green,True,False,False
1,72,blue,green,False,480.0,j,green,True,False,False
1,73,yellow,yellow,True,317.3,k,yellow,True,False,False
1,74,green,blue,False,1197.1,f,blue,True,False,False
1,75,red,red,True,331.8,d,red,True,False,False
1,76,yellow,red,False,375.7,d,red,True,False,False
1,77,blue,blue,True,467.2,f,blue,True,False,False
1,78,red,red,True,405.0,d,red,True,False,False
1,79,blue,blue,True,574.2,f,blue,True,False,False
1,80,blue,red,False,517.4,d,red,True,False,False
1,81,green,green,True,498.5,j,green,True,False,False
1,82,blue,blue,True,600.5,f,blue,True,False,False
1,83,red,red,True,391.8,d,red,True,False,False
1,84,blue,blue,True,478.6,f,blue,True,False,False
1,85,yellow,green,False,440.5,j,green,True,False,False
1,86,blue,blue,True,483.0,f,blue,True,False,False
1,87,yellow,red,False,669.9,d,red,True,False,False
1,88,blue,red,False,454.8,d,red,True,False,False
1,89,red,red,True,387.8,d,red,True,False,False
1,90,yellow,yellow,True,431.1,k,yellow,True,False,False
1,91,blue,blue,True,653.1,f,blue,True,False,False
1,92,green,green,True,403.5,j,green,True,False,False
1,93,red,red,True,451.8,d,red,True,False,False
1,94,red,red,True,410.8,d,red,True,False,False
1,95,blue,yellow,False,584.0,k,yellow,True,False,False
1,96,blue,green,False,629.8,j,green,True,False,False
1,97,yellow,yellow,True,452.8,k,yellow,True,False,False
1,98,green,yellow,False,423.1,k,yellow,True,False,False
1,99,yellow,yellow,True,386.7,k,yellow,True,False,False
1,100,green,blue,False,491.7,f,blue,True,False,False
2,1,blue,blue,True,500.2,f,blue,True,False,False
2,2,blue,yellow,False,551.7,k,yellow,True,False,False
2,3,blue,blue,True,597.7,f,blue,True,False,False
2,4,yellow,blue,False,622.6,f,blue,True,False,False
2,5,green,red,False,370.6,d,red,True,False,False
2,6,green,green,True,498.1,j,green,True,False,False
2,7,blue,blue,True,350.8,f,blue,True,False,False
2,8,blue,blue,True,372.0,f,blue,True,False,False
2,9,blue,yellow,False,401.7,k,yellow,True,False,False
2,10,green,yellow,False,402.9,k,yellow,True,False,False
2,11,red,green,False,849.8,j,green,True,False,False
2,12,blue,yellow,False,1175.2,k,yellow,True,False,False
2,13,green,blue,False,1071.7,f,blue,True,False,False
2,14,yellow,red,False,340.6,d,red,True,False,False
2,15,yellow,yellow,True,532.5,k,yellow,True,False,False
