block,trial,word,color,congruent,rt_ms,response_key,recognized_color,correct,timed_out,no_response
2,52,yellow,red,False,850.4,d,red,True,False,False
2,53,yellow,yellow,True,633.8,k,yellow,True,False,False
2,54,blue,blue,True,574.3,f,blue,True,False,False
2,55,red,blue,False,1041.7,f,blue,True,False,False
2,56,blue,green,False,586.5,j,green,True,False,False
2,57,green,green,True,103.7,f,blue,False,False,False
2,58,blue,red,False,952.7,d,red,True,False,False
2,59,red,red,True,1188.5,d,red,True,False,False
2,60,blue,blue,True,872.5,f,blue,True,False,False
2,61,red,yellow,False,1056.9,k,yellow,True,False,False
2,62,red,red,True,580.3,d,red,True,False,False
2,63,green,yellow,False,606.6,k,yellow,True,False,False
2,64,green,red,False,650.0,d,red,True,False,False
2,65,blue,yellow,False,1108.0,k,yellow,True,False,False
2,66,green,green,True,650.3,j,green,True,False,False
2,67,blue,blue,True,516.8,f,blue,True,False,False
2,68,red,red,True,590.4,d,red,True,False,False
2,69,blue,blue,True,683.6,f,blue,True,False,False
2,70,green,red,False,882.3,d,red,True,False,False
2,71,yellow,yellow,True,534.3,k,yellow,True,False,False
2,72,blue,blue,True,646.1,f,blue,True,False,False
2,73,red,red,True,617.4,d,red,True,False,False
2,74,green,green,True,652.9,j,green,True,False,False
2,75,red,yellow,False,1141.4,k,yellow,True,False,False
2,76,blue,yellow,False,918.4,k,yellow,True,False,False
2,77,red,blue,False,963.4,j,green,False,False,False
2,78,green,red,False,1515.3,d,red,True,False,False
2,79,yellow,yellow,True,1022.9,k,yellow,True,False,False
2,80,green,blue,False,799.3,f,blue,True,False,False
2,81,blue,yellow,False,1907.0,k,yellow,True,False,False
2,82,green,green,True,801.2,j,green,True,False,False
2,83,yellow,green,False,,,,False,True,True
2,84,blue,blue,True,780.8,f,blue,True,False,False
2,85,blue,red,False,515.2,d,red,True,False,False
2,86,blue,red,False,655.8,d,red,True,False,False
2,87,yellow,yellow,True,890.2,k,yellow,True,False,False
2,88,yellow,green,False,569.6,j,green,True,False,False
2,89,yellow,blue,False,601.2,f,blue,True,False,False
2,90,blue,green,False,928.7,j,green,True,False,False
2,91,yellow,blue,False,764.1,f,blue,True,False,False
2,92,red,red,True,428.9,d,red,True,False,False
2,93,blue,green,False,1237.6,j,green,True,False,False
2,94,yellow,blue,False,775.0,f,blue,True,False,False
2,95,blue,blue,True,561.3,f,blue,True,False,False
2,96,green,blue,False,578.6,f,blue,True,False,False
2,97,green,green,True,641.0,j,green,True,False,False
2,98,green,yellow,False,581.1,k,yellow,True,False,False
2,99,red,red,True,583.9,d,red,True,False,False
2,100,yellow,blue,False,1733.6,f,blue,True,False,False
3,1,green,blue,False,691.3,j,green,False,False,False
3,2,red,green,False,968.0,j,green,True,False,False
3,3,green,yellow,False,641.6,k,yellow,True,False,False
3,4,yellow,red,False,656.1,d,red,True,False,False
3,5,blue,blue,True,590.3,f,blue,True,False,False
3,6,red,red,True,466.9,d,red,True,False,False
3,7,green,red,False,797.7,f,blue,False,False,False
3,8,green,red,False,616.5,d,red,True,False,False
3,9,red,red,True,449.6,d,red,True,False,False
3,10,blue,green,False,540.2,j,green,True,False,False
3,11,yellow,red,False,645.5,d,red,True,False,False
3,12,red,yellow,False,563.6,k,yellow,True,False,False
3,13,yellow,yellow,True,671.0,k,yellow,True,False,False
3,14,yellow,green,False,891.6,j,green,True,False,False
3,15,yellow,yellow,True,535.9,k,yellow,True,False,False
3,16,red,red,True,438.2,d,red,True,False,False
3,17,red,red,True,512.7,d,red,True,False,False
3,18,red,red,True,427.5,d,red,True,False,False
3,19,green,green,True,756.0,j,green,True,False,False
3,20,green,green,True,577.9,j,green,True,False,False
3,21,red,red,True,527.8,d,red,True,False,False
3,22,red,red,True,533.8,d,red,True,False,False
3,23,red,yellow,False,713.0,d,red,False,False,False
3,24,red,blue,False,607.1,f,blue,True,False,False
3,25,green,green,True,657.4,j,green,True,False,False
3,26,yellow,yellow,True,493.7,k,yellow,True,False,False
3,27,yellow,yellow,True,669.7,k,yellow,True,False,False
3,28,green,green,True,560.0,j,green,True,False,False
3,29,green,red,False,943.8,d,red,True,False,False
3,30,red,yellow,False,1178.3,k,yellow,True,False,False
3,31,green,yellow,False,855.5,k,yellow,True,False,False
3,32,yellow,yellow,True,752.8,k,yellow,True,False,False
3,33,green,red,False,889.0,d,red,True,False,False
3,34,red,red,True,616.0,d,red,True,False,False
3,35,red,red,True,441.8,d,red,True,False,False
3,36,blue,red,False,479.1,d,red,True,False,False
3,37,red,blue,False,638.2,f,blue,True,False,False
3,38,yellow,yellow,True,705.5,k,yellow,True,False,False
3,39,green,yellow,False,861.4,k,yellow,True,False,False
3,40,green,blue,False,661.5,f,blue,True,False,False
3,41,blue,blue,True,731.1,f,blue,True,False,False
3,42,yellow,yellow,True,1345.7,k,yellow,True,False,False
3,43,red,yellow,False,593.2,k,yellow,True,False,False
3,44,green,green,True,1002.0,j,green,True,False,False
3,45,red,red,True,520.1,d,red,True,False,False
3,46,blue,green,False,1388.6,j,green,True,False,False
3,47,green,blue,False,451.5,f,blue,True,False,False
3,48,blue,yellow,False,646.9,k,yellow,True,False,False
3,49,yellow,yellow,True,543.3,k,yellow,True,False,False
3,50,green,green,True,1150.2,j,green,True,False,False
3,51,red,yellow,False,712.1,d,red,False,False,False
3,52,red,yellow,False,1325.9,k,yellow,True,False,False
3,53,blue,blue,True,803.4,f,blue,True,False,False
3,54,blue,blue,True,712.2,f,blue,True,False,False
