block,trial,word,color,congruent,rt_ms,recognized_text,recognized_color_word,correct,timed_out,no_response,audio_file
1,33,green,blue,False,565.7,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block1_trial033.wav
1,34,yellow,yellow,True,478.7,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block1_trial034.wav
1,35,green,red,False,778.4,red,red,True,True,False,data\voice\audio\4_20260902_153614\block1_trial035.wav
1,36,blue,red,False,773.5,red,red,True,True,False,data\voice\audio\4_20260902_153614\block1_trial036.wav
1,37,green,red,False,565.2,red,red,True,False,False,data\voice\audio\4_20260902_153614\block1_trial037.wav
1,38,yellow,red,False,533.8,red,red,True,False,False,data\voice\audio\4_20260902_153614\block1_trial038.wav
1,39,green,green,True,597.8,green,green,True,False,False,data\voice\audio\4_20260902_153614\block1_trial039.wav
1,40,red,yellow,False,719.6,yellow,yellow,True,True,False,data\voice\audio\4_20260902_153614\block1_trial040.wav
1,41,green,blue,False,806.8,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block1_trial041.wav
1,42,blue,blue,True,533.9,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block1_trial042.wav
1,43,green,red,False,560.8,green,green,False,False,False,data\voice\audio\4_20260902_153614\block1_trial043.wav
1,44,green,green,True,681.9,green,green,True,True,False,data\voice\audio\4_20260902_153614\block1_trial044.wav
1,45,green,green,True,658.6,green,green,True,False,False,data\voice\audio\4_20260902_153614\block1_trial045.wav
1,46,green,yellow,False,570.5,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block1_trial046.wav
1,47,blue,green,False,833.7,green,green,True,True,False,data\voice\audio\4_20260902_153614\block1_trial047.wav
1,48,red,green,False,629.5,green,green,True,False,False,data\voice\audio\4_20260902_153614\block1_trial048.wav
1,49,blue,yellow,False,655.0,yellow,yellow,True,True,False,data\voice\audio\4_20260902_153614\block1_trial049.wav
1,50,yellow,red,False,717.8,red,red,True,True,False,data\voice\audio\4_20260902_153614\block1_trial050.wav
2,1,green,green,True,683.7,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial001.wav
2,2,blue,blue,True,712.9,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block2_trial002.wav
2,3,yellow,yellow,True,419.2,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block2_trial003.wav
2,4,red,red,True,414.8,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial004.wav
2,5,green,red,False,415.5,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial005.wav
2,6,red,green,False,656.8,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial006.wav
2,7,blue,red,False,869.2,red,red,True,True,False,data\voice\audio\4_20260902_153614\block2_trial007.wav
2,8,red,red,True,448.9,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial008.wav
2,9,blue,red,False,473.8,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial009.wav
2,10,red,red,True,500.8,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial010.wav
2,11,green,green,True,539.3,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial011.wav
2,12,yellow,blue,False,383.1,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial012.wav
2,13,green,green,True,566.9,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial013.wav
2,14,green,red,False,592.0,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial014.wav
2,15,yellow,blue,False,1019.3,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block2_trial015.wav
2,16,green,green,True,567.4,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial016.wav
2,17,yellow,blue,False,952.2,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block2_trial017.wav
2,18,blue,red,False,688.4,red,red,True,True,False,data\voice\audio\4_20260902_153614\block2_trial018.wav
2,19,red,yellow,False,561.7,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block2_trial019.wav
2,20,yellow,yellow,True,412.5,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block2_trial020.wav
2,21,red,green,False,325.5,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial021.wav
2,22,red,blue,False,500.8,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial022.wav
2,23,red,red,True,356.0,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial023.wav
2,24,red,red,True,474.0,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial024.wav
2,25,red,blue,False,686.8,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial025.wav
2,26,blue,blue,True,655.6,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial026.wav
2,27,blue,yellow,False,621.6,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block2_trial027.wav
2,28,blue,red,False,626.8,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial028.wav
2,29,red,red,True,531.9,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial029.wav
2,30,green,green,True,410.9,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial030.wav
2,31,blue,blue,True,565.6,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial031.wav
2,32,blue,red,False,750.0,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial032.wav
2,33,yellow,yellow,True,383.5,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block2_trial033.wav
2,34,yellow,yellow,True,474.4,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block2_trial034.wav
2,35,blue,red,False,750.1,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial035.wav
2,36,blue,blue,True,745.8,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial036.wav
2,37,blue,blue,True,564.2,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial037.wav
2,38,blue,yellow,False,716.7,yellow,yellow,True,True,False,data\voice\audio\4_20260902_153614\block2_trial038.wav
2,39,blue,blue,True,626.2,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial039.wav
2,40,green,green,True,501.1,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial040.wav
2,41,green,blue,False,779.5,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block2_trial041.wav
2,42,blue,green,False,744.4,green,green,True,False,False,data\voice\audio\4_20260902_153614\block2_trial042.wav
2,43,red,red,True,561.9,red,red,True,False,False,data\voice\audio\4_20260902_153614\block2_trial043.wav
2,44,blue,blue,True,652.9,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial044.wav
2,45,blue,yellow,False,654.3,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block2_trial045.wav
2,46,red,green,False,835.3,green,green,True,True,False,data\voice\audio\4_20260902_153614\block2_trial046.wav
2,47,blue,yellow,False,804.2,yellow,yellow,True,True,False,data\voice\audio\4_20260902_153614\block2_trial047.wav
2,48,blue,blue,True,592.0,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block2_trial048.wav
2,49,green,yellow,False,831.9,yellow,yellow,True,True,False,data\voice\audio\4_20260902_153614\block2_trial049.wav
2,50,blue,green,False,742.5,green,green,True,True,False,data\voice\audio\4_20260902_153614\block2_trial050.wav
3,1,blue,red,False,687.1,red,red,True,False,False,data\voice\audio\4_20260902_153614\block3_trial001.wav
3,2,red,green,False,713.7,green,green,True,True,False,data\voice\audio\4_20260902_153614\block3_trial002.wav
3,3,red,red,True,534.5,red,red,True,False,False,data\voice\audio\4_20260902_153614\block3_trial003.wav
3,4,red,green,False,687.0,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial004.wav
3,5,green,blue,False,890.1,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block3_trial005.wav
3,6,green,green,True,659.4,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial006.wav
3,7,green,red,False,712.3,red,red,True,False,False,data\voice\audio\4_20260902_153614\block3_trial007.wav
3,8,green,green,True,536.5,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial008.wav
3,9,yellow,green,False,741.4,green,green,True,True,False,data\voice\audio\4_20260902_153614\block3_trial009.wav
3,10,red,yellow,False,501.9,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial010.wav
3,11,red,green,False,809.8,green,green,True,True,False,data\voice\audio\4_20260902_153614\block3_trial011.wav
3,12,blue,blue,True,501.5,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial012.wav
3,13,blue,blue,True,534.4,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial013.wav
3,14,red,red,True,473.5,red,red,True,False,False,data\voice\audio\4_20260902_153614\block3_trial014.wav
3,15,blue,blue,True,593.8,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial015.wav
3,16,green,green,True,628.5,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial016.wav
3,17,red,blue,False,987.5,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block3_trial017.wav
3,18,blue,blue,True,533.9,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial018.wav
3,19,blue,blue,True,507.6,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial019.wav
3,20,red,green,False,683.4,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial020.wav
3,21,red,red,True,654.4,red,red,True,False,False,data\voice\audio\4_20260902_153614\block3_trial021.wav
3,22,yellow,yellow,True,448.4,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial022.wav
3,23,green,blue,False,836.0,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block3_trial023.wav
3,24,yellow,yellow,True,564.5,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial024.wav
3,25,green,red,False,835.4,red,red,True,True,False,data\voice\audio\4_20260902_153614\block3_trial025.wav
3,26,yellow,yellow,True,564.5,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial026.wav
3,27,blue,green,False,624.9,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial027.wav
3,28,yellow,yellow,True,541.0,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial028.wav
3,29,blue,blue,True,566.6,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial029.wav
3,30,red,red,True,537.8,red,red,True,False,False,data\voice\audio\4_20260902_153614\block3_trial030.wav
3,31,green,green,True,508.6,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial031.wav
3,32,yellow,yellow,True,475.6,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial032.wav
3,33,yellow,red,False,751.1,red,red,True,True,False,data\voice\audio\4_20260902_153614\block3_trial033.wav
3,34,green,green,True,505.7,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial034.wav
3,35,blue,blue,True,682.6,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial035.wav
3,36,green,yellow,False,591.0,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial036.wav
3,37,green,yellow,False,501.1,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial037.wav
3,38,blue,yellow,False,533.6,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial038.wav
3,39,yellow,green,False,981.5,green,green,True,True,False,data\voice\audio\4_20260902_153614\block3_trial039.wav
3,40,green,yellow,False,628.1,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial040.wav
3,41,green,green,True,411.7,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial041.wav
3,42,green,green,True,447.7,green,green,True,False,False,data\voice\audio\4_20260902_153614\block3_trial042.wav
3,43,yellow,blue,False,688.9,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial043.wav
3,44,blue,yellow,False,740.8,yellow,yellow,True,True,False,data\voice\audio\4_20260902_153614\block3_trial044.wav
3,45,green,red,False,596.9,red,red,True,False,False,data\voice\audio\4_20260902_153614\block3_trial045.wav
3,46,blue,blue,True,651.0,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block3_trial046.wav
3,47,green,red,False,747.3,red,red,True,False,False,data\voice\audio\4_20260902_153614\block3_trial047.wav
3,48,yellow,yellow,True,564.1,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block3_trial048.wav
3,49,red,green,False,957.1,green,green,True,True,False,data\voice\audio\4_20260902_153614\block3_trial049.wav
3,50,red,blue,False,831.3,blue,blue,True,True,False,data\voice\audio\4_20260902_153614\block3_trial050.wav
4,1,blue,red,False,629.5,red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial001.wav
4,2,green,blue,False,718.4,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block4_trial002.wav
4,3,red,red,True,472.7,red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial003.wav
4,4,blue,red,False,682.6,red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial004.wav
4,5,green,green,True,421.1,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial005.wav
4,6,green,yellow,False,415.6,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial006.wav
4,7,blue,blue,True,621.1,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block4_trial007.wav
4,8,green,red,False,718.2,green red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial008.wav
4,9,red,green,False,656.9,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial009.wav
4,10,green,blue,False,773.8,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block4_trial010.wav
4,11,green,green,True,530.1,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial011.wav
4,12,blue,yellow,False,420.3,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial012.wav
4,13,red,blue,False,745.0,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block4_trial013.wav
4,14,red,yellow,False,689.1,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial014.wav
4,15,green,green,True,538.2,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial015.wav
4,16,blue,green,False,746.9,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial016.wav
4,17,red,red,True,505.4,red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial017.wav
4,18,yellow,yellow,True,444.0,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial018.wav
4,19,blue,blue,True,500.0,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block4_trial019.wav
4,20,blue,yellow,False,594.8,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial020.wav
4,21,green,green,True,443.6,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial021.wav
4,22,blue,red,False,686.8,red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial022.wav
4,23,blue,red,False,410.5,red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial023.wav
4,24,yellow,yellow,True,474.4,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial024.wav
4,25,yellow,yellow,True,445.2,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial025.wav
4,26,blue,blue,True,650.3,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block4_trial026.wav
4,27,blue,yellow,False,624.2,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial027.wav
4,28,red,red,True,507.3,red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial028.wav
4,29,blue,blue,True,564.7,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block4_trial029.wav
4,30,green,green,True,385.8,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial030.wav
4,31,blue,yellow,False,387.6,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial031.wav
4,32,red,green,False,833.1,green,green,True,True,False,data\voice\audio\4_20260902_153614\block4_trial032.wav
4,33,red,red,True,441.6,red,red,True,False,False,data\voice\audio\4_20260902_153614\block4_trial033.wav
4,34,green,green,True,472.0,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial034.wav
4,35,yellow,green,False,927.6,green,green,True,True,False,data\voice\audio\4_20260902_153614\block4_trial035.wav
4,36,green,green,True,420.4,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial036.wav
4,37,yellow,yellow,True,508.7,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial037.wav
4,38,red,green,False,900.1,green,green,True,True,False,data\voice\audio\4_20260902_153614\block4_trial038.wav
4,39,red,yellow,False,924.5,yellow,yellow,True,True,False,data\voice\audio\4_20260902_153614\block4_trial039.wav
4,40,blue,yellow,False,562.0,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial040.wav
4,41,green,green,True,507.3,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial041.wav
4,42,green,green,True,531.7,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial042.wav
4,43,blue,red,False,893.3,red,red,True,True,False,data\voice\audio\4_20260902_153614\block4_trial043.wav
4,44,green,green,True,531.7,green,green,True,False,False,data\voice\audio\4_20260902_153614\block4_trial044.wav
4,45,yellow,yellow,True,505.6,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial045.wav
4,46,blue,red,False,801.0,red,red,True,True,False,data\voice\audio\4_20260902_153614\block4_trial046.wav
4,47,blue,yellow,False,746.1,yellow,yellow,True,True,False,data\voice\audio\4_20260902_153614\block4_trial047.wav
4,48,blue,blue,True,476.7,blue,blue,True,False,False,data\voice\audio\4_20260902_153614\block4_trial048.wav
4,49,yellow,red,False,800.8,red,red,True,True,False,data\voice\audio\4_20260902_153614\block4_trial049.wav
4,50,yellow,yellow,True,505.4,yellow,yellow,True,False,False,data\voice\audio\4_20260902_153614\block4_trial050.wav
