block,trial,word,color,congruent,rt_ms,recognized_text,correct,timed_out,no_response,audio_file,max_rms,onset_offset_in_wav_ms
1,29,green,red,False,713.2,green,False,False,False,data\voice\audio\1_20260818_215922\block1_trial029.wav,3585.2,770.6
1,30,yellow,yellow,True,585.5,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial030.wav,2352.5,629.2
1,31,blue,blue,True,656.4,blue,True,False,False,data\voice\audio\1_20260818_215922\block1_trial031.wav,1713.9,710.3
1,32,yellow,yellow,True,600.8,,False,True,False,data\voice\audio\1_20260818_215922\block1_trial032.wav,2815.1,660.1
1,33,red,green,False,1237.8,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial033.wav,4181.8,1290.8
1,34,yellow,yellow,True,644.8,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial034.wav,2362.8,681.8
1,35,blue,red,False,941.3,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial035.wav,2433.3,999.9
1,36,yellow,yellow,True,641.3,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial036.wav,2369.3,692.3
1,37,yellow,red,False,848.0,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial037.wav,2510.8,905.9
1,38,green,red,False,1077.3,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial038.wav,2344.7,1127.5
1,39,yellow,yellow,True,649.6,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial039.wav,2913.3,709.4
1,40,yellow,yellow,True,725.4,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial040.wav,2923.4,782.8
1,41,blue,yellow,False,1039.7,yellow,True,True,False,data\voice\audio\1_20260818_215922\block1_trial041.wav,3392.3,1098.0
1,42,blue,red,False,959.1,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial042.wav,2401.2,1007.9
1,43,red,green,False,918.3,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial043.wav,4177.3,969.5
1,44,yellow,blue,False,1006.4,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial044.wav,3625.5,1049.5
1,45,red,green,False,899.3,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial045.wav,2837.9,951.1
1,46,red,red,True,814.7,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial046.wav,2620.0,864.9
1,47,green,blue,False,990.6,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial047.wav,4078.6,1044.5
1,48,yellow,green,False,666.1,yellow,False,False,False,data\voice\audio\1_20260818_215922\block1_trial048.wav,2561.6,725.0
1,49,green,blue,False,792.2,blue,True,False,False,data\voice\audio\1_20260818_215922\block1_trial049.wav,3780.0,849.6
1,50,yellow,yellow,True,624.1,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial050.wav,3512.3,682.3
1,51,green,blue,False,850.9,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial051.wav,3220.3,910.8
1,52,blue,blue,True,950.0,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial052.wav,3876.5,1008.5
1,53,yellow,yellow,True,678.3,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial053.wav,3469.0,736.0
1,54,green,green,True,689.6,green,True,False,False,data\voice\audio\1_20260818_215922\block1_trial054.wav,4452.4,747.5
1,55,red,green,False,1087.6,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial055.wav,4018.7,1141.3
1,56,yellow,yellow,True,824.8,yellow,True,True,False,data\voice\audio\1_20260818_215922\block1_trial056.wav,1966.5,876.8
1,57,yellow,green,False,804.0,green,True,False,False,data\voice\audio\1_20260818_215922\block1_trial057.wav,2867.3,863.3
1,58,green,red,False,811.9,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial058.wav,2920.0,868.1
1,59,blue,blue,True,618.2,blue,True,False,False,data\voice\audio\1_20260818_215922\block1_trial059.wav,5787.4,674.8
1,60,red,red,True,686.9,red,True,False,False,data\voice\audio\1_20260818_215922\block1_trial060.wav,2803.6,737.3
1,61,green,red,False,1032.3,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial061.wav,2529.6,1088.7
1,62,yellow,yellow,True,952.6,yellow,True,True,False,data\voice\audio\1_20260818_215922\block1_trial062.wav,2869.7,1003.8
1,63,red,red,True,826.2,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial063.wav,2888.9,877.0
1,64,blue,red,False,798.6,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial064.wav,2770.5,856.4
1,65,green,red,False,910.1,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial065.wav,2669.0,966.3
1,66,red,green,False,872.0,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial066.wav,2720.5,924.8
1,67,red,green,False,804.7,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial067.wav,2538.7,864.6
1,68,blue,blue,True,660.3,blue,True,False,False,data\voice\audio\1_20260818_215922\block1_trial068.wav,3035.2,720.3
1,69,green,yellow,False,755.5,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial069.wav,2817.0,812.9
1,70,blue,green,False,878.4,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial070.wav,2230.7,937.2
1,71,green,red,False,689.1,red,True,False,False,data\voice\audio\1_20260818_215922\block1_trial071.wav,2778.3,741.7
1,72,yellow,green,False,990.4,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial072.wav,2499.6,1041.0
1,73,red,red,True,830.6,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial073.wav,2962.1,882.0
1,74,green,red,False,1147.2,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial074.wav,2827.8,1196.7
1,75,red,blue,False,1275.2,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial075.wav,2379.2,1334.1
1,76,green,green,True,895.8,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial076.wav,2819.7,926.8
1,77,red,green,False,861.3,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial077.wav,3296.7,915.9
1,78,yellow,yellow,True,719.2,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial078.wav,2500.6,750.0
1,79,red,red,True,950.3,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial079.wav,3338.5,1007.8
1,80,red,blue,False,829.4,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial080.wav,4155.4,870.7
1,81,blue,green,False,1156.2,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial081.wav,5128.7,1206.3
1,82,red,red,True,860.7,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial082.wav,2695.7,914.2
1,83,yellow,blue,False,875.1,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial083.wav,4255.5,935.0
1,84,green,green,True,740.2,green,True,False,False,data\voice\audio\1_20260818_215922\block1_trial084.wav,2601.9,790.9
1,85,green,blue,False,764.1,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial085.wav,4831.9,819.9
1,86,yellow,red,False,861.9,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial086.wav,2847.7,915.8
1,87,blue,red,False,1128.1,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial087.wav,3159.9,1179.3
1,88,green,green,True,882.1,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial088.wav,3547.3,935.6
1,89,green,green,True,758.0,green,True,False,False,data\voice\audio\1_20260818_215922\block1_trial089.wav,1961.9,816.6
1,90,red,red,True,813.3,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial090.wav,2501.3,866.3
1,91,red,yellow,False,887.7,yellow,True,True,False,data\voice\audio\1_20260818_215922\block1_trial091.wav,2714.4,943.9
1,92,red,green,False,783.2,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial092.wav,3869.4,822.4
1,93,green,red,False,907.5,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial093.wav,2884.0,960.9
1,94,red,blue,False,898.0,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial094.wav,5200.9,955.7
1,95,green,yellow,False,725.4,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial095.wav,2517.4,784.0
1,96,blue,green,False,1003.6,green,True,True,False,data\voice\audio\1_20260818_215922\block1_trial096.wav,2428.6,1058.8
1,97,blue,blue,True,946.2,blue,True,True,False,data\voice\audio\1_20260818_215922\block1_trial097.wav,4483.6,1001.2
1,98,red,red,True,783.7,red,True,True,False,data\voice\audio\1_20260818_215922\block1_trial098.wav,2589.3,827.4
1,99,yellow,yellow,True,762.9,yellow,True,False,False,data\voice\audio\1_20260818_215922\block1_trial099.wav,2503.9,819.8
1,100,red,yellow,False,872.3,yellow,True,True,False,data\voice\audio\1_20260818_215922\block1_trial100.wav,2801.3,931.5
2,1,blue,blue,True,731.1,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial001.wav,6822.5,780.9
2,2,green,blue,False,841.6,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial002.wav,5498.4,891.3
2,3,blue,blue,True,551.8,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial003.wav,6685.0,602.6
2,4,blue,blue,True,643.9,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial004.wav,6437.8,699.1
2,5,yellow,green,False,768.7,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial005.wav,4919.0,792.3
2,6,yellow,yellow,True,759.3,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial006.wav,4448.7,816.6
2,7,red,green,False,822.5,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial007.wav,5549.8,880.5
2,8,blue,blue,True,845.2,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial008.wav,4853.7,901.1
2,9,yellow,yellow,True,631.7,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial009.wav,3323.1,686.2
2,10,blue,red,False,685.1,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial010.wav,3648.3,734.4
2,11,green,yellow,False,989.4,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial011.wav,3533.7,1042.2
2,12,yellow,red,False,1417.3,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial012.wav,3626.9,1469.1
2,13,blue,green,False,1115.6,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial013.wav,5689.1,1161.9
2,14,blue,red,False,830.0,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial014.wav,3176.3,877.1
2,15,yellow,red,False,719.8,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial015.wav,3175.6,779.6
2,16,yellow,green,False,717.2,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial016.wav,3776.8,774.5
2,17,green,blue,False,921.2,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial017.wav,5311.5,975.3
2,18,blue,blue,True,829.1,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial018.wav,5774.0,886.8
2,19,green,red,False,704.6,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial019.wav,2741.0,759.9
2,20,green,red,False,1103.4,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial020.wav,3013.6,1155.7
2,21,yellow,yellow,True,719.9,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial021.wav,2973.7,776.0
2,22,red,red,True,635.9,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial022.wav,3300.0,687.0
2,23,yellow,yellow,True,697.8,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial023.wav,3129.5,751.9
2,24,blue,blue,True,778.3,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial024.wav,4098.5,821.6
2,25,yellow,red,False,814.7,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial025.wav,2324.0,869.8
2,26,yellow,blue,False,883.6,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial026.wav,4008.2,935.9
2,27,green,green,True,752.6,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial027.wav,4692.7,799.4
2,28,green,red,False,760.2,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial028.wav,3267.4,815.4
2,29,green,green,True,626.4,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial029.wav,2110.1,682.9
2,30,red,yellow,False,747.1,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial030.wav,4150.5,798.4
2,31,yellow,yellow,True,686.8,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial031.wav,2991.1,746.3
2,32,blue,yellow,False,1017.8,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial032.wav,3955.3,1075.6
2,33,green,green,True,646.8,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial033.wav,5242.6,699.9
2,34,blue,blue,True,746.1,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial034.wav,4435.7,790.8
2,35,green,red,False,1033.5,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial035.wav,3379.4,1084.3
2,36,red,red,True,750.1,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial036.wav,2958.6,809.9
2,37,red,blue,False,774.8,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial037.wav,3732.3,819.0
2,38,red,red,True,884.3,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial038.wav,3986.4,936.2
2,39,red,blue,False,891.9,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial039.wav,4275.8,951.2
2,40,blue,blue,True,709.4,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial040.wav,6401.6,764.0
2,41,yellow,green,False,873.9,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial041.wav,3738.8,916.0
2,42,blue,green,False,1141.2,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial042.wav,5629.9,1200.9
2,43,red,red,True,685.5,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial043.wav,3012.7,742.4
2,44,green,green,True,827.1,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial044.wav,2635.1,877.1
2,45,red,red,True,684.9,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial045.wav,3026.4,741.7
2,46,red,red,True,589.4,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial046.wav,3024.4,642.4
2,47,blue,blue,True,750.6,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial047.wav,5300.0,800.0
2,48,yellow,blue,False,987.4,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial048.wav,3467.5,1039.7
2,49,yellow,yellow,True,796.1,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial049.wav,3861.3,854.5
2,50,green,yellow,False,1000.2,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial050.wav,2671.7,1051.1
2,51,yellow,yellow,True,712.8,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial051.wav,3376.2,756.2
