pid block taskType trialNum soa stim resp correct
54 1 Integ 1 6 13 12 False
54 1 Integ 2 5 12 12 True
54 1 Integ 3 5 16 16 True
54 1 Integ 4 6 11 11 True
54 1 Integ 5 6 11 11 True
54 1 Integ 6 7 18 12 False
54 1 Integ 7 6 6 6 True
54 1 Integ 8 6 18 18 True
54 1 Integ 9 7 8 7 False
54 1 Integ 10 6 7 7 True
54 1 Integ 11 6 17 17 True
54 1 Integ 12 7 8 7 False
54 1 Integ 13 6 11 11 True
54 1 Integ 14 6 12 12 True
54 1 Integ 15 7 7 12 False
54 1 Integ 16 6 11 11 True
54 1 Integ 17 6 6 6 True
54 1 Integ 18 7 18 18 True
54 1 Integ 19 7 16 16 True
54 1 Integ 20 8 13 12 False
54 1 Integ 21 7 17 17 True
54 1 Integ 22 7 13 7 False
54 1 Integ 23 6 17 17 True
54 1 Integ 24 6 11 11 True
54 1 Integ 25 7 17 6 False
54 1 Integ 26 6 13 13 True
54 1 Integ 27 6 18 16 False
54 1 Integ 28 5 18 7 False
54 1 Integ 29 4 8 8 True
54 1 Integ 30 4 16 6 False
54 1 Integ 31 3 18 7 False
54 1 Integ 32 2 17 17 True
54 1 Integ 33 2 13 13 True
54 1 Integ 34 3 11 11 True
54 1 Integ 35 3 7 6 False
54 1 Integ 36 2 11 11 True
54 1 Integ 37 2 18 18 True
54 1 Integ 38 3 6 -1 False
54 1 Integ 39 2 7 6 False
54 1 Integ 40 1 8 8 True
54 1 Integ 41 1 18 18 True
54 1 Integ 42 2 8 7 False
54 1 Integ 43 1 7 7 True
54 1 Integ 44 1 12 12 True
54 1 Integ 45 2 16 16 True
54 1 Integ 46 2 8 7 False
54 1 Integ 47 1 6 16 False
54 1 Integ 48 1 6 6 True
54 1 Integ 49 1 13 12 False
54 1 Integ 50 1 12 12 True
54 2 Simult 1 6 1 1 True
54 2 Simult 2 6 1 1 True
54 2 Simult 3 5 1 1 True
54 2 Simult 4 5 1 1 True
54 2 Simult 5 4 1 1 True
54 2 Simult 6 4 0 1 False
54 2 Simult 7 5 0 1 False
54 2 Simult 8 6 1 1 True
54 2 Simult 9 6 1 1 True
54 2 Simult 10 5 1 0 False
54 2 Simult 11 6 1 1 True
54 2 Simult 12 6 1 1 True
54 2 Simult 13 5 0 1 False
54 2 Simult 14 6 0 1 False
54 2 Simult 15 7 0 0 True
54 2 Simult 16 7 0 0 True
54 2 Simult 17 6 0 0 True
54 2 Simult 18 6 1 0 False
54 2 Simult 19 7 0 0 True
54 2 Simult 20 7 1 0 False
54 2 Simult 21 8 1 1 True
54 2 Simult 22 8 0 1 False
54 2 Simult 23 9 0 0 True
54 2 Simult 24 9 0 0 True
54 2 Simult 25 8 1 1 True
54 2 Simult 26 8 0 1 False
54 2 Simult 27 9 1 0 False
54 2 Simult 28 10 0 1 False
54 2 Simult 29 11 1 0 False
54 2 Simult 30 12 0 0 True
54 2 Simult 31 12 1 0 False
54 2 Simult 32 13 0 0 True
54 2 Simult 33 13 0 1 False
54 2 Simult 34 14 1 0 False
54 2 Simult 35 15 1 1 True
54 2 Simult 36 15 0 1 False
54 2 Simult 37 16 0 0 True
54 2 Simult 38 16 1 0 False
54 2 Simult 39 17 0 0 True
54 2 Simult 40 17 0 0 True
54 2 Simult 41 16 0 1 False
54 2 Simult 42 17 0 1 False
54 2 Simult 43 18 0 0 True
54 2 Simult 44 18 1 0 False
54 2 Simult 45 19 1 0 False
54 2 Simult 46 20 1 0 False
54 2 Simult 47 21 1 1 True
54 2 Simult 48 21 0 1 False
54 2 Simult 49 22 0 0 True
54 2 Simult 50 22 0 1 False
54 3 Integ 1 6 8 12 False
54 3 Integ 2 5 6 6 True
54 3 Integ 3 5 13 13 True
54 3 Integ 4 6 13 12 False
54 3 Integ 5 5 7 7 True
54 3 Integ 6 5 12 12 True
54 3 Integ 7 6 17 17 True
54 3 Integ 8 6 8 17 False
54 3 Integ 9 5 6 6 True
54 3 Integ 10 5 17 17 True
54 3 Integ 11 6 6 12 False
54 3 Integ 12 5 13 13 True
54 3 Integ 13 5 8 8 True
54 3 Integ 14 6 7 7 True
54 3 Integ 15 6 16 16 True
54 3 Integ 16 7 7 7 True
54 3 Integ 17 7 8 17 False
54 3 Integ 18 6 17 17 True
54 3 Integ 19 6 18 16 False
54 3 Integ 20 5 16 6 False
54 3 Integ 21 4 12 12 True
54 3 Integ 22 4 13 13 True
54 3 Integ 23 5 7 12 False
54 3 Integ 24 4 18 12 False
54 3 Integ 25 3 16 16 True
54 3 Integ 26 3 12 12 True
54 3 Integ 27 4 18 18 True
54 3 Integ 28 4 11 11 True
54 3 Integ 29 5 13 18 False
54 3 Integ 30 4 17 17 True
54 3 Integ 31 4 11 11 True
54 3 Integ 32 5 11 11 True
54 3 Integ 33 5 11 11 True
54 3 Integ 34 6 17 12 False
54 3 Integ 35 5 18 18 True
54 3 Integ 36 5 6 12 False
54 3 Integ 37 4 8 13 False
54 3 Integ 38 3 8 8 True
54 3 Integ 39 3 12 12 True
54 3 Integ 40 4 11 11 True
54 3 Integ 41 4 13 12 False
54 3 Integ 42 3 8 13 False
54 3 Integ 43 2 7 12 False
54 3 Integ 44 1 6 6 True
54 3 Integ 45 1 12 12 True
54 3 Integ 46 2 6 6 True
54 3 Integ 47 2 16 16 True
54 3 Integ 48 3 6 6 True
54 3 Integ 49 3 13 13 True
54 3 Integ 50 4 12 12 True
54 4 Simult 1 6 0 1 False
54 4 Simult 2 7 1 1 True
54 4 Simult 3 7 0 0 True
54 4 Simult 4 6 1 0 False
54 4 Simult 5 7 1 1 True
54 4 Simult 6 7 1 1 True
54 4 Simult 7 6 0 0 True
54 4 Simult 8 6 0 0 True
54 4 Simult 9 5 1 0 False
54 4 Simult 10 6 0 -1 False
54 4 Simult 11 7 1 1 True
54 4 Simult 12 7 0 0 True
54 4 Simult 13 6 1 1 True
54 4 Simult 14 6 1 0 False
54 4 Simult 15 7 0 1 False
54 4 Simult 16 8 1 1 True
54 4 Simult 17 8 0 1 False
54 4 Simult 18 9 0 1 False
54 4 Simult 19 10 0 0 True
54 4 Simult 20 10 0 0 True
54 4 Simult 21 9 0 0 True
54 4 Simult 22 9 0 1 False
54 4 Simult 23 10 0 0 True
54 4 Simult 24 10 1 0 False
54 4 Simult 25 11 0 1 False
54 4 Simult 26 12 0 1 False
54 4 Simult 27 13 0 0 True
54 4 Simult 28 13 0 0 True
54 4 Simult 29 12 0 0 True
54 4 Simult 30 12 1 0 False
54 4 Simult 31 13 0 0 True
54 4 Simult 32 13 0 1 False
54 4 Simult 33 14 0 0 True
54 4 Simult 34 14 1 -1 False
54 4 Simult 35 15 1 0 False
54 4 Simult 36 16 1 0 False
54 4 Simult 37 17 1 0 False
54 4 Simult 38 18 0 0 True
54 4 Simult 39 18 0 0 True
54 4 Simult 40 17 1 0 False
54 4 Simult 41 18 0 1 False
