pid block taskType trialNum soa stim resp correct
47 1 Integ 1 6 8 12 False
47 1 Integ 2 5 7 7 True
47 1 Integ 3 5 17 17 True
47 1 Integ 4 6 11 8 False
47 1 Integ 5 5 17 17 True
47 1 Integ 6 5 16 17 False
47 1 Integ 7 4 18 8 False
47 1 Integ 8 3 12 12 True
47 1 Integ 9 3 6 8 False
47 1 Integ 10 2 17 17 True
47 1 Integ 11 2 16 16 True
47 1 Integ 12 3 11 11 True
47 1 Integ 13 3 8 8 True
47 1 Integ 14 4 12 12 True
47 1 Integ 15 4 12 12 True
47 1 Integ 16 5 6 6 True
47 1 Integ 17 5 18 11 False
47 1 Integ 18 4 8 8 True
47 1 Integ 19 4 6 6 True
47 1 Integ 20 5 7 7 True
47 1 Integ 21 5 18 -1 False
47 1 Integ 22 4 11 11 True
47 1 Integ 23 4 18 18 True
47 1 Integ 24 5 16 17 False
47 1 Integ 25 4 13 13 True
47 1 Integ 26 4 13 13 True
47 1 Integ 27 5 8 8 True
47 1 Integ 28 5 7 7 True
47 1 Integ 29 6 16 -1 False
47 1 Integ 30 5 11 11 True
47 1 Integ 31 5 17 17 True
47 1 Integ 32 6 16 16 True
47 1 Integ 33 6 13 13 True
47 1 Integ 34 7 11 11 True
47 1 Integ 35 7 7 16 False
47 1 Integ 36 6 8 11 False
47 1 Integ 37 5 16 12 False
47 1 Integ 38 4 7 7 True
47 1 Integ 39 4 18 18 True
47 1 Integ 40 5 6 6 True
47 1 Integ 41 5 11 11 True
47 1 Integ 42 6 7 12 False
47 1 Integ 43 5 7 18 False
47 1 Integ 44 4 13 13 True
47 1 Integ 45 4 16 16 True
47 1 Integ 46 5 17 17 True
47 1 Integ 47 5 18 18 True
47 1 Integ 48 6 11 11 True
47 1 Integ 49 6 16 18 False
47 1 Integ 50 5 16 16 True
47 2 Simult 1 6 0 0 True
47 2 Simult 2 6 0 1 False
47 2 Simult 3 7 0 1 False
47 2 Simult 4 8 1 1 True
47 2 Simult 5 8 0 0 True
47 2 Simult 6 7 1 1 True
47 2 Simult 7 7 1 1 True
47 2 Simult 8 6 1 1 True
47 2 Simult 9 6 1 1 True
47 2 Simult 10 5 0 0 True
47 2 Simult 11 5 1 0 False
47 2 Simult 12 6 0 0 True
47 2 Simult 13 6 1 1 True
47 2 Simult 14 5 0 0 True
47 2 Simult 15 5 1 1 True
47 2 Simult 16 4 0 0 True
47 2 Simult 17 4 1 0 False
47 2 Simult 18 5 1 0 False
47 2 Simult 19 6 0 1 False
47 2 Simult 20 7 0 0 True
47 2 Simult 21 7 0 0 True
47 2 Simult 22 6 0 0 True
47 2 Simult 23 6 0 0 True
47 2 Simult 24 5 1 0 False
47 2 Simult 25 6 0 1 False
47 2 Simult 26 7 1 1 True
47 2 Simult 27 7 0 0 True
47 2 Simult 28 6 0 1 False
47 2 Simult 29 7 0 0 True
47 2 Simult 30 7 1 1 True
47 2 Simult 31 6 1 1 True
47 2 Simult 32 6 0 0 True
47 2 Simult 33 5 0 0 True
47 2 Simult 34 5 1 0 False
47 2 Simult 35 6 0 1 False
47 2 Simult 36 7 0 0 True
47 2 Simult 37 7 0 0 True
47 2 Simult 38 6 0 0 True
47 2 Simult 39 6 1 1 True
47 2 Simult 40 5 1 1 True
47 2 Simult 41 5 1 1 True
47 2 Simult 42 4 0 0 True
47 2 Simult 43 4 1 0 False
47 2 Simult 44 5 1 0 False
47 2 Simult 45 6 0 0 True
47 2 Simult 46 6 1 0 False
47 2 Simult 47 7 1 1 True
47 2 Simult 48 7 0 0 True
47 2 Simult 49 6 0 0 True
47 2 Simult 50 6 1 1 True
47 3 Integ 1 6 13 11 False
47 3 Integ 2 5 12 12 True
47 3 Integ 3 5 16 16 True
47 3 Integ 4 6 6 6 True
47 3 Integ 5 6 13 13 True
47 3 Integ 6 7 12 12 True
47 3 Integ 7 7 11 11 True
47 3 Integ 8 8 8 8 True
47 3 Integ 9 8 7 7 True
47 3 Integ 10 9 7 7 True
47 3 Integ 11 9 8 12 False
47 3 Integ 12 8 16 11 False
47 3 Integ 13 7 13 13 True
47 3 Integ 14 7 12 12 True
47 3 Integ 15 8 13 13 True
47 3 Integ 16 8 13 13 True
47 3 Integ 17 9 13 12 False
47 3 Integ 18 8 16 11 False
47 3 Integ 19 7 12 12 True
47 3 Integ 20 7 16 13 False
47 3 Integ 21 6 17 17 True
47 3 Integ 22 6 18 -1 False
47 3 Integ 23 5 13 13 True
47 3 Integ 24 5 17 17 True
47 3 Integ 25 6 17 17 True
47 3 Integ 26 6 7 7 True
47 3 Integ 27 7 17 17 True
47 3 Integ 28 7 13 13 True
47 3 Integ 29 8 11 17 False
47 3 Integ 30 7 16 12 False
47 3 Integ 31 6 17 17 True
47 3 Integ 32 6 8 17 False
47 3 Integ 33 5 16 12 False
47 3 Integ 34 4 7 7 True
47 3 Integ 35 4 18 18 True
47 3 Integ 36 5 12 12 True
47 3 Integ 37 5 12 12 True
47 3 Integ 38 6 16 16 True
47 3 Integ 39 6 13 18 False
47 3 Integ 40 5 17 17 True
47 3 Integ 41 5 12 12 True
47 3 Integ 42 6 7 7 True
47 3 Integ 43 6 18 18 True
47 3 Integ 44 7 16 16 True
47 3 Integ 45 7 16 8 False
47 3 Integ 46 6 16 16 True
47 3 Integ 47 6 13 13 True
47 3 Integ 48 7 12 7 False
47 3 Integ 49 6 16 16 True
47 3 Integ 50 6 11 11 True
47 4 Simult 1 6 1 1 True
47 4 Simult 2 6 0 0 True
47 4 Simult 3 5 1 1 True
47 4 Simult 4 5 1 1 True
47 4 Simult 5 4 1 1 True
47 4 Simult 6 4 0 0 True
47 4 Simult 7 3 1 0 False
47 4 Simult 8 4 0 0 True
47 4 Simult 9 4 0 1 False
47 4 Simult 10 5 1 0 False
47 4 Simult 11 6 1 1 True
47 4 Simult 12 6 0 1 False
47 4 Simult 13 7 0 0 True
47 4 Simult 14 7 1 0 False
47 4 Simult 15 8 0 0 True
47 4 Simult 16 8 0 0 True
47 4 Simult 17 7 1 1 True
47 4 Simult 18 7 1 1 True
47 4 Simult 19 6 1 1 True
47 4 Simult 20 6 1 1 True
47 4 Simult 21 5 0 0 True
47 4 Simult 22 5 0 1 False
47 4 Simult 23 6 0 0 True
47 4 Simult 24 6 1 0 False
47 4 Simult 25 7 1 1 True
47 4 Simult 26 7 0 0 True
47 4 Simult 27 6 0 0 True
47 4 Simult 28 6 0 0 True
47 4 Simult 29 5 0 1 False
47 4 Simult 30 6 0 1 False
47 4 Simult 31 7 0 0 True
47 4 Simult 32 7 1 0 False
47 4 Simult 33 8 1 1 True
47 4 Simult 34 8 1 1 True
47 4 Simult 35 7 0 0 True
47 4 Simult 36 7 0 0 True
47 4 Simult 37 6 1 0 False
47 4 Simult 38 7 0 0 True
47 4 Simult 39 7 0 0 True
47 4 Simult 40 6 1 1 True
47 4 Simult 41 6 0 0 True
47 4 Simult 42 5 1 1 True
47 4 Simult 43 5 0 0 True
47 4 Simult 44 4 0 1 False
47 4 Simult 45 5 0 0 True
47 4 Simult 46 5 1 1 True
47 4 Simult 47 4 0 1 False
47 4 Simult 48 5 0 0 True
47 4 Simult 49 5 0 0 True
47 4 Simult 50 4 0 0 True
47 5 Integ 1 6 7 12 False
47 5 Integ 2 5 8 13 False
47 5 Integ 3 4 17 17 True
47 5 Integ 4 4 11 11 True
47 5 Integ 5 5 6 8 False
47 5 Integ 6 4 6 6 True
47 5 Integ 7 4 11 11 True
47 5 Integ 8 5 7 7 True
47 5 Integ 9 5 8 8 True
47 5 Integ 10 6 16 16 True
47 5 Integ 11 6 17 17 True
47 5 Integ 12 7 8 8 True
47 5 Integ 13 7 16 16 True
47 5 Integ 14 8 12 12 True
47 5 Integ 15 8 16 16 True
47 5 Integ 16 9 8 11 False
47 5 Integ 17 8 7 7 True
47 5 Integ 18 8 7 7 True
47 5 Integ 19 9 7 12 False
47 5 Integ 20 8 11 11 True
47 5 Integ 21 8 6 7 False
47 5 Integ 22 7 6 11 False
47 5 Integ 23 6 16 16 True
47 5 Integ 24 6 16 6 False
47 5 Integ 25 5 11 11 True
47 5 Integ 26 5 12 12 True
47 5 Integ 27 6 13 13 True
47 5 Integ 28 6 6 16 False
47 5 Integ 29 5 13 13 True
47 5 Integ 30 5 7 -1 False
47 5 Integ 31 4 11 11 True
47 5 Integ 32 4 11 11 True
47 5 Integ 33 5 18 18 True
47 5 Integ 34 5 17 17 True
47 5 Integ 35 6 8 17 False
47 5 Integ 36 5 8 8 True
47 5 Integ 37 5 16 16 True
47 5 Integ 38 6 7 7 True
47 5 Integ 39 6 11 11 True
47 5 Integ 40 7 16 16 True
47 5 Integ 41 7 11 11 True
47 5 Integ 42 8 16 16 True
47 5 Integ 43 8 12 12 True
47 5 Integ 44 9 11 11 True
47 5 Integ 45 9 8 17 False
47 5 Integ 46 8 12 -1 False
47 5 Integ 47 7 8 8 True
47 5 Integ 48 7 6 -1 False
47 5 Integ 49 6 12 12 True
47 5 Integ 50 6 12 12 True
47 6 Simult 1 6 1 1 True
47 6 Simult 2 6 0 0 True
47 6 Simult 3 5 1 1 True
47 6 Simult 4 5 0 0 True
47 6 Simult 5 4 0 1 False
47 6 Simult 6 5 1 1 True
47 6 Simult 7 5 0 0 True
47 6 Simult 8 4 0 0 True
47 6 Simult 9 4 0 1 False
47 6 Simult 10 5 0 0 True
47 6 Simult 11 5 0 0 True
47 6 Simult 12 4 0 0 True
47 6 Simult 13 4 0 0 True
47 6 Simult 14 3 0 0 True
47 6 Simult 15 3 1 1 True
47 6 Simult 16 2 0 1 False
47 6 Simult 17 3 0 1 False
47 6 Simult 18 4 1 0 False
47 6 Simult 19 5 0 0 True
47 6 Simult 20 5 0 1 False
47 6 Simult 21 6 0 0 True
47 6 Simult 22 6 1 1 True
47 6 Simult 23 5 1 1 True
47 6 Simult 24 5 0 1 False
47 6 Simult 25 6 1 1 True
47 6 Simult 26 6 0 0 True
47 6 Simult 27 5 1 0 False
47 6 Simult 28 6 1 0 False
47 6 Simult 29 7 1 0 False
47 6 Simult 30 8 1 1 True
47 6 Simult 31 8 0 0 True
47 6 Simult 32 7 0 0 True
47 6 Simult 33 7 0 1 False
47 6 Simult 34 8 1 1 True
47 6 Simult 35 8 0 0 True
47 6 Simult 36 7 1 1 True
47 6 Simult 37 7 1 1 True
47 6 Simult 38 6 0 0 True
47 6 Simult 39 6 0 0 True
47 6 Simult 40 5 0 0 True
47 6 Simult 41 5 0 0 True
47 6 Simult 42 4 1 1 True
47 6 Simult 43 4 0 1 False
47 6 Simult 44 5 0 1 False
47 6 Simult 45 6 0 0 True
47 6 Simult 46 6 1 1 True
47 6 Simult 47 5 0 0 True
47 6 Simult 48 5 0 0 True
47 6 Simult 49 4 1 1 True
47 6 Simult 50 4 0 1 False
