pid block taskType trialNum soa stim resp correct
42 1 Integ 1 6 7 7 True
42 1 Integ 2 6 6 6 True
42 1 Integ 3 7 17 8 False
42 1 Integ 4 6 6 6 True
42 1 Integ 5 6 6 6 True
42 1 Integ 6 7 6 8 False
42 1 Integ 7 6 8 -1 False
42 1 Integ 8 5 16 -1 False
42 1 Integ 9 4 13 13 True
42 1 Integ 10 4 6 6 True
42 1 Integ 11 5 6 6 True
42 1 Integ 12 5 7 7 True
42 1 Integ 13 6 8 -1 False
42 1 Integ 14 5 16 16 True
42 1 Integ 15 5 18 18 True
42 1 Integ 16 6 12 13 False
42 1 Integ 17 5 11 11 True
42 1 Integ 18 5 13 -1 False
42 1 Integ 19 4 13 13 True
42 1 Integ 20 4 11 16 False
42 1 Integ 21 3 11 11 True
42 1 Integ 22 3 18 18 True
42 1 Integ 23 4 8 8 True
42 1 Integ 24 4 12 12 True
42 1 Integ 25 5 7 18 False
42 1 Integ 26 4 18 18 True
42 1 Integ 27 4 12 12 True
42 1 Integ 28 5 8 -1 False
42 1 Integ 29 4 8 8 True
42 1 Integ 30 4 12 12 True
42 1 Integ 31 5 18 18 True
42 1 Integ 32 5 6 6 True
42 1 Integ 33 6 8 8 True
42 1 Integ 34 6 16 16 True
42 1 Integ 35 7 7 7 True
42 1 Integ 36 7 17 17 True
42 1 Integ 37 8 13 13 True
42 1 Integ 38 8 13 13 True
42 1 Integ 39 9 8 16 False
42 1 Integ 40 8 16 -1 False
42 1 Integ 41 7 6 6 True
42 1 Integ 42 7 17 17 True
42 1 Integ 43 8 11 6 False
42 1 Integ 44 7 11 6 False
42 1 Integ 45 6 16 16 True
42 1 Integ 46 6 11 -1 False
42 1 Integ 47 5 11 11 True
42 1 Integ 48 5 12 -1 False
42 1 Integ 49 4 18 18 True
42 1 Integ 50 4 11 11 True
42 2 Simult 1 6 1 1 True
42 2 Simult 2 6 0 0 True
42 2 Simult 3 5 0 0 True
42 2 Simult 4 5 1 1 True
42 2 Simult 5 4 1 1 True
42 2 Simult 6 4 0 1 False
42 2 Simult 7 5 1 1 True
42 2 Simult 8 5 1 1 True
42 2 Simult 9 4 1 1 True
42 2 Simult 10 4 0 1 False
42 2 Simult 11 5 1 1 True
42 2 Simult 12 5 0 1 False
42 2 Simult 13 6 1 1 True
42 2 Simult 14 6 0 1 False
42 2 Simult 15 7 1 1 True
42 2 Simult 16 7 0 0 True
42 2 Simult 17 6 1 1 True
42 2 Simult 18 6 0 0 True
42 2 Simult 19 5 1 1 True
42 2 Simult 20 5 1 1 True
42 2 Simult 21 4 1 1 True
42 2 Simult 22 4 1 1 True
42 2 Simult 23 3 0 1 False
42 2 Simult 24 4 1 1 True
42 2 Simult 25 4 1 1 True
42 2 Simult 26 3 0 1 False
42 2 Simult 27 4 0 1 False
42 2 Simult 28 5 0 1 False
42 2 Simult 29 6 0 1 False
42 2 Simult 30 7 0 1 False
42 2 Simult 31 8 0 1 False
42 2 Simult 32 9 0 1 False
42 2 Simult 33 10 0 0 True
42 2 Simult 34 10 0 0 True
42 2 Simult 35 9 0 1 False
42 2 Simult 36 10 1 1 True
42 2 Simult 37 10 1 1 True
42 2 Simult 38 9 0 0 True
42 2 Simult 39 9 1 1 True
42 2 Simult 40 8 0 0 True
42 2 Simult 41 8 0 0 True
42 2 Simult 42 7 0 1 False
42 2 Simult 43 8 1 1 True
42 2 Simult 44 8 0 0 True
42 2 Simult 45 7 0 1 False
42 2 Simult 46 8 0 1 False
42 2 Simult 47 9 0 1 False
42 2 Simult 48 10 1 1 True
42 2 Simult 49 10 1 1 True
42 2 Simult 50 9 1 1 True
42 3 Integ 1 6 7 7 True
42 3 Integ 2 6 6 13 False
42 3 Integ 3 5 11 11 True
42 3 Integ 4 5 8 8 True
42 3 Integ 5 6 17 17 True
42 3 Integ 6 6 12 12 True
42 3 Integ 7 7 17 18 False
42 3 Integ 8 6 11 11 True
42 3 Integ 9 6 16 16 True
42 3 Integ 10 7 18 18 True
42 3 Integ 11 7 7 -1 False
42 3 Integ 12 6 8 -1 False
42 3 Integ 13 5 17 17 True
42 3 Integ 14 5 7 16 False
42 3 Integ 15 4 8 8 True
42 3 Integ 16 4 6 6 True
42 3 Integ 17 5 16 -1 False
42 3 Integ 18 4 13 13 True
42 3 Integ 19 4 13 13 True
42 3 Integ 20 5 7 -1 False
42 3 Integ 21 4 6 6 True
42 3 Integ 22 4 13 13 True
42 3 Integ 23 5 18 -1 False
42 3 Integ 24 4 18 18 True
42 3 Integ 25 4 11 -1 False
42 3 Integ 26 3 11 11 True
42 3 Integ 27 3 18 18 True
42 3 Integ 28 4 6 -1 False
42 3 Integ 29 3 11 11 True
42 3 Integ 30 3 8 8 True
42 3 Integ 31 4 7 7 True
42 3 Integ 32 4 17 17 True
42 3 Integ 33 5 7 7 True
42 3 Integ 34 5 18 18 True
42 3 Integ 35 6 11 11 True
42 3 Integ 36 6 12 12 True
42 3 Integ 37 7 17 7 False
42 3 Integ 38 6 12 12 True
42 3 Integ 39 6 18 -1 False
42 3 Integ 40 5 11 14 False
42 3 Integ 41 4 17 17 True
42 3 Integ 42 4 13 13 True
42 3 Integ 43 5 8 8 True
42 3 Integ 44 5 13 13 True
42 3 Integ 45 6 13 13 True
42 3 Integ 46 6 7 7 True
42 3 Integ 47 7 12 12 True
42 3 Integ 48 7 8 6 False
42 3 Integ 49 6 13 -1 False
42 3 Integ 50 5 18 6 False
42 4 Simult 1 6 0 0 True
42 4 Simult 2 6 1 1 True
42 4 Simult 3 5 0 0 True
42 4 Simult 4 5 1 1 True
42 4 Simult 5 4 0 0 True
42 4 Simult 6 4 1 1 True
42 4 Simult 7 3 0 1 False
42 4 Simult 8 4 1 1 True
42 4 Simult 9 4 1 1 True
42 4 Simult 10 3 0 0 True
42 4 Simult 11 3 1 0 False
42 4 Simult 12 4 0 1 False
42 4 Simult 13 5 0 1 False
42 4 Simult 14 6 0 1 False
42 4 Simult 15 7 1 1 True
42 4 Simult 16 7 0 0 True
42 4 Simult 17 6 1 1 True
42 4 Simult 18 6 0 0 True
42 4 Simult 19 5 0 0 True
42 4 Simult 20 5 0 1 False
42 4 Simult 21 6 1 1 True
42 4 Simult 22 6 0 0 True
42 4 Simult 23 5 1 1 True
42 4 Simult 24 5 0 0 True
42 4 Simult 25 4 0 0 True
42 4 Simult 26 4 1 1 True
42 4 Simult 27 3 1 1 True
42 4 Simult 28 3 0 0 True
42 4 Simult 29 2 1 1 True
42 4 Simult 30 2 1 1 True
42 4 Simult 31 1 1 1 True
42 4 Simult 32 1 0 1 False
42 4 Simult 33 2 0 0 True
42 4 Simult 34 2 1 0 False
42 4 Simult 35 3 0 1 False
42 4 Simult 36 4 1 1 True
42 4 Simult 37 4 1 0 False
42 4 Simult 38 5 1 1 True
42 4 Simult 39 5 1 1 True
42 4 Simult 40 4 1 1 True
42 4 Simult 41 4 1 1 True
42 4 Simult 42 3 1 1 True
42 4 Simult 43 3 1 1 True
42 4 Simult 44 2 0 0 True
42 4 Simult 45 2 1 1 True
42 4 Simult 46 1 0 0 True
42 4 Simult 47 1 1 1 True
42 4 Simult 48 1 1 1 True
42 4 Simult 49 1 1 1 True
42 4 Simult 50 1 1 1 True
42 5 Integ 1 6 18 2 False
42 5 Integ 2 5 6 6 True
42 5 Integ 3 5 6 6 True
42 5 Integ 4 6 6 6 True
42 5 Integ 5 6 11 11 True
42 5 Integ 6 7 18 18 True
42 5 Integ 7 7 17 18 False
42 5 Integ 8 6 7 7 True
42 5 Integ 9 6 17 17 True
42 5 Integ 10 7 7 13 False
42 5 Integ 11 6 8 13 False
42 5 Integ 12 5 11 11 True
42 5 Integ 13 5 16 16 True
42 5 Integ 14 6 6 6 True
42 5 Integ 15 6 18 11 False
42 5 Integ 16 5 16 16 True
42 5 Integ 17 5 7 7 True
42 5 Integ 18 6 11 11 True
42 5 Integ 19 6 13 13 True
42 5 Integ 20 7 12 13 False
42 5 Integ 21 6 12 12 True
42 5 Integ 22 6 8 8 True
42 5 Integ 23 7 12 12 True
42 5 Integ 24 7 13 13 True
42 5 Integ 25 8 11 11 True
42 5 Integ 26 8 12 -1 False
42 5 Integ 27 7 6 15 False
42 5 Integ 28 6 17 2 False
42 5 Integ 29 5 6 6 True
42 5 Integ 30 5 13 13 True
42 5 Integ 31 6 12 6 False
42 5 Integ 32 5 11 11 True
42 5 Integ 33 5 11 -1 False
42 5 Integ 34 4 17 17 True
42 5 Integ 35 4 13 13 True
42 5 Integ 36 5 8 8 True
42 5 Integ 37 5 11 6 False
42 5 Integ 38 4 18 -1 False
42 5 Integ 39 3 13 13 True
42 5 Integ 40 3 16 16 True
42 5 Integ 41 4 7 6 False
42 5 Integ 42 3 17 17 True
42 5 Integ 43 3 18 18 True
42 5 Integ 44 4 18 -1 False
42 5 Integ 45 3 11 11 True
42 5 Integ 46 3 8 8 True
42 5 Integ 47 4 11 11 True
42 5 Integ 48 4 13 13 True
42 5 Integ 49 5 7 7 True
42 5 Integ 50 5 8 8 True
42 6 Simult 1 6 0 0 True
42 6 Simult 2 6 1 1 True
42 6 Simult 3 5 1 1 True
42 6 Simult 4 5 1 1 True
42 6 Simult 5 4 1 1 True
42 6 Simult 6 4 0 0 True
42 6 Simult 7 3 1 1 True
42 6 Simult 8 3 1 1 True
42 6 Simult 9 2 1 1 True
42 6 Simult 10 2 0 1 False
42 6 Simult 11 3 0 0 True
42 6 Simult 12 3 0 1 False
42 6 Simult 13 4 1 1 True
42 6 Simult 14 4 0 0 True
42 6 Simult 15 3 1 1 True
42 6 Simult 16 3 1 0 False
42 6 Simult 17 4 1 1 True
42 6 Simult 18 4 0 0 True
42 6 Simult 19 3 0 1 False
42 6 Simult 20 4 1 1 True
42 6 Simult 21 4 1 1 True
42 6 Simult 22 3 0 1 False
42 6 Simult 23 4 0 0 True
42 6 Simult 24 4 0 1 False
42 6 Simult 25 5 1 1 True
42 6 Simult 26 5 1 0 False
42 6 Simult 27 6 1 1 True
42 6 Simult 28 6 1 1 True
42 6 Simult 29 5 1 1 True
42 6 Simult 30 5 0 0 True
42 6 Simult 31 4 0 0 True
42 6 Simult 32 4 1 1 True
42 6 Simult 33 3 1 1 True
42 6 Simult 34 3 1 1 True
42 6 Simult 35 2 1 1 True
42 6 Simult 36 2 0 1 False
42 6 Simult 37 3 0 1 False
42 6 Simult 38 4 0 1 False
42 6 Simult 39 5 1 1 True
42 6 Simult 40 5 1 1 True
42 6 Simult 41 4 1 1 True
42 6 Simult 42 4 1 0 False
42 6 Simult 43 5 1 0 False
42 6 Simult 44 6 1 1 True
42 6 Simult 45 6 0 0 True
42 6 Simult 46 5 1 1 True
42 6 Simult 47 5 1 1 True
42 6 Simult 48 4 1 1 True
42 6 Simult 49 4 0 0 True
42 6 Simult 50 3 1 1 True
