pid block taskType trialNum soa stim resp correct
12 1 Integ 1 6 8 8 True
12 1 Integ 2 6 18 18 True
12 1 Integ 3 7 6 7 False
12 1 Integ 4 6 16 16 True
12 1 Integ 5 6 17 17 True
12 1 Integ 6 7 13 13 True
12 1 Integ 7 7 17 17 True
12 1 Integ 8 8 7 7 True
12 1 Integ 9 8 12 6 False
12 1 Integ 10 7 18 12 False
12 1 Integ 11 6 13 13 True
12 1 Integ 12 6 13 13 True
12 1 Integ 13 7 7 5 False
12 1 Integ 14 6 13 -1 False
12 1 Integ 15 5 12 12 True
12 1 Integ 16 5 11 11 True
12 1 Integ 17 6 13 13 True
12 1 Integ 18 6 18 7 False
12 1 Integ 19 5 8 6 False
12 1 Integ 20 4 17 17 True
12 1 Integ 21 4 8 7 False
12 1 Integ 22 3 17 11 False
12 1 Integ 23 2 13 13 True
12 1 Integ 24 2 17 17 True
12 1 Integ 25 3 13 13 True
12 1 Integ 26 3 11 11 True
12 1 Integ 27 4 6 6 True
12 1 Integ 28 4 18 18 True
12 1 Integ 29 5 18 6 False
12 1 Integ 30 4 8 8 True
12 1 Integ 31 4 18 18 True
12 1 Integ 32 5 18 6 False
12 1 Integ 33 4 18 18 True
12 1 Integ 34 4 12 12 True
12 1 Integ 35 5 6 6 True
12 1 Integ 36 5 6 6 True
12 1 Integ 37 6 12 12 True
12 1 Integ 38 6 12 12 True
12 1 Integ 39 7 11 11 True
12 1 Integ 40 7 6 6 True
12 1 Integ 41 8 18 9 False
12 1 Integ 42 7 11 11 True
12 1 Integ 43 7 8 8 True
12 1 Integ 44 8 6 1 False
12 1 Integ 45 7 17 17 True
12 1 Integ 46 7 12 12 True
12 1 Integ 47 8 11 11 True
12 1 Integ 48 8 17 13 False
12 1 Integ 49 7 17 17 True
12 1 Integ 50 7 12 12 True
12 2 Simult 1 6 0 0 True
12 2 Simult 2 6 0 1 False
12 2 Simult 3 7 0 0 True
12 2 Simult 4 7 1 1 True
12 2 Simult 5 6 0 0 True
12 2 Simult 6 6 0 0 True
12 2 Simult 7 5 1 1 True
12 2 Simult 8 5 1 0 False
12 2 Simult 9 6 1 1 True
12 2 Simult 10 6 1 1 True
12 2 Simult 11 5 1 0 False
12 2 Simult 12 6 1 1 True
12 2 Simult 13 6 0 0 True
12 2 Simult 14 5 1 0 False
12 2 Simult 15 6 0 0 True
12 2 Simult 16 6 1 1 True
12 2 Simult 17 5 0 0 True
12 2 Simult 18 5 0 0 True
12 2 Simult 19 4 1 0 False
12 2 Simult 20 5 1 1 True
12 2 Simult 21 5 0 0 True
12 2 Simult 22 4 0 0 True
12 2 Simult 23 4 1 0 False
12 2 Simult 24 5 1 0 False
12 2 Simult 25 6 0 0 True
12 2 Simult 26 6 0 0 True
12 2 Simult 27 5 0 1 False
12 2 Simult 28 6 1 1 True
12 2 Simult 29 6 1 0 False
12 2 Simult 30 7 0 0 True
12 2 Simult 31 7 0 0 True
12 2 Simult 32 6 0 0 True
12 2 Simult 33 6 0 0 True
12 2 Simult 34 5 1 0 False
12 2 Simult 35 6 0 0 True
12 2 Simult 36 6 0 0 True
12 2 Simult 37 5 0 0 True
12 2 Simult 38 5 0 0 True
12 2 Simult 39 4 0 0 True
12 2 Simult 40 4 1 0 False
12 2 Simult 41 5 0 1 False
12 2 Simult 42 6 1 0 False
12 2 Simult 43 7 0 1 False
12 2 Simult 44 8 1 1 True
12 2 Simult 45 8 0 0 True
12 2 Simult 46 7 0 0 True
12 2 Simult 47 7 0 0 True
12 2 Simult 48 6 0 0 True
12 2 Simult 49 6 0 0 True
12 2 Simult 50 5 0 0 True
12 3 Integ 1 6 7 12 False
12 3 Integ 2 5 6 11 False
12 3 Integ 3 4 11 11 True
12 3 Integ 4 4 16 16 True
12 3 Integ 5 5 6 6 True
12 3 Integ 6 5 13 13 True
12 3 Integ 7 6 8 8 True
12 3 Integ 8 6 6 6 True
12 3 Integ 9 7 12 12 True
12 3 Integ 10 7 8 8 True
12 3 Integ 11 8 17 13 False
12 3 Integ 12 7 11 11 True
12 3 Integ 13 7 6 6 True
12 3 Integ 14 8 6 22 False
12 3 Integ 15 7 12 12 True
12 3 Integ 16 7 12 12 True
12 3 Integ 17 8 13 13 True
12 3 Integ 18 8 17 16 False
12 3 Integ 19 7 6 6 True
12 3 Integ 20 7 18 12 False
12 3 Integ 21 6 18 18 True
12 3 Integ 22 6 6 6 True
12 3 Integ 23 7 8 8 True
12 3 Integ 24 7 17 6 False
12 3 Integ 25 6 8 8 True
12 3 Integ 26 6 12 12 True
12 3 Integ 27 7 17 11 False
12 3 Integ 28 6 8 8 True
12 3 Integ 29 6 7 7 True
12 3 Integ 30 7 6 6 True
12 3 Integ 31 7 8 7 False
12 3 Integ 32 6 16 11 False
12 3 Integ 33 5 8 7 False
12 3 Integ 34 4 18 18 True
12 3 Integ 35 4 16 16 True
12 3 Integ 36 5 11 11 True
12 3 Integ 37 5 7 7 True
12 3 Integ 38 6 16 16 True
12 3 Integ 39 6 13 13 True
12 3 Integ 40 7 12 12 True
12 3 Integ 41 7 12 12 True
12 3 Integ 42 8 8 22 False
12 3 Integ 43 7 12 12 True
12 3 Integ 44 7 8 11 False
12 3 Integ 45 6 6 6 True
12 3 Integ 46 6 18 17 False
12 3 Integ 47 5 11 11 True
12 3 Integ 48 5 16 16 True
12 3 Integ 49 6 8 8 True
12 3 Integ 50 6 12 12 True
12 4 Simult 1 6 1 1 True
12 4 Simult 2 6 0 0 True
12 4 Simult 3 5 0 -1 False
12 4 Simult 4 6 1 1 True
12 4 Simult 5 6 1 1 True
12 4 Simult 6 5 0 1 False
12 4 Simult 7 6 0 0 True
12 4 Simult 8 6 1 1 True
12 4 Simult 9 5 1 1 True
12 4 Simult 10 5 1 1 True
12 4 Simult 11 4 1 1 True
12 4 Simult 12 4 0 0 True
12 4 Simult 13 3 1 0 False
12 4 Simult 14 4 0 0 True
12 4 Simult 15 4 1 0 False
12 4 Simult 16 5 1 1 True
12 4 Simult 17 5 0 0 True
12 4 Simult 18 4 0 0 True
12 4 Simult 19 4 0 0 True
12 4 Simult 20 3 0 -1 False
12 4 Simult 21 4 0 0 True
12 4 Simult 22 4 1 0 False
12 4 Simult 23 5 1 1 True
12 4 Simult 24 5 1 1 True
12 4 Simult 25 4 0 0 True
12 4 Simult 26 4 1 0 False
12 4 Simult 27 5 1 1 True
12 4 Simult 28 5 1 1 True
12 4 Simult 29 4 1 1 True
12 4 Simult 30 4 1 1 True
12 4 Simult 31 3 1 0 False
12 4 Simult 32 4 0 0 True
12 4 Simult 33 4 1 0 False
12 4 Simult 34 5 1 1 True
12 4 Simult 35 5 1 1 True
12 4 Simult 36 4 1 1 True
12 4 Simult 37 4 0 1 False
12 4 Simult 38 5 0 0 True
12 4 Simult 39 5 1 1 True
12 4 Simult 40 4 0 1 False
12 4 Simult 41 5 0 0 True
12 4 Simult 42 5 0 0 True
12 4 Simult 43 4 1 1 True
12 4 Simult 44 4 1 1 True
12 4 Simult 45 3 0 0 True
12 4 Simult 46 3 1 0 False
12 4 Simult 47 4 1 1 True
12 4 Simult 48 4 0 1 False
12 4 Simult 49 5 1 1 True
12 4 Simult 50 5 1 1 True
12 5 Integ 1 6 16 16 True
12 5 Integ 2 6 11 11 True
12 5 Integ 3 7 6 7 False
12 5 Integ 4 6 18 18 True
12 5 Integ 5 6 12 12 True
12 5 Integ 6 7 8 8 True
12 5 Integ 7 7 8 16 False
12 5 Integ 8 6 16 16 True
12 5 Integ 9 6 12 12 True
12 5 Integ 10 7 11 11 True
12 5 Integ 11 7 16 13 False
12 5 Integ 12 6 17 -1 False
12 5 Integ 13 5 12 12 True
12 5 Integ 14 5 18 -1 False
12 5 Integ 15 4 18 18 True
12 5 Integ 16 4 16 16 True
12 5 Integ 17 5 18 8 False
12 5 Integ 18 4 17 17 True
12 5 Integ 19 4 16 16 True
12 5 Integ 20 5 17 17 True
12 5 Integ 21 5 12 12 True
12 5 Integ 22 6 6 6 True
12 5 Integ 23 6 11 11 True
12 5 Integ 24 7 7 7 True
12 5 Integ 25 7 12 12 True
12 5 Integ 26 8 11 6 False
12 5 Integ 27 7 18 7 False
12 5 Integ 28 6 8 8 True
12 5 Integ 29 6 6 16 False
12 5 Integ 30 5 8 8 True
12 5 Integ 31 5 17 1 False
12 5 Integ 32 4 7 17 False
12 5 Integ 33 3 18 18 True
12 5 Integ 34 3 11 11 True
12 5 Integ 35 4 13 7 False
12 5 Integ 36 3 16 17 False
12 5 Integ 37 2 16 16 True
12 5 Integ 38 2 13 13 True
12 5 Integ 39 3 16 8 False
12 5 Integ 40 2 6 7 False
12 5 Integ 41 1 18 18 True
12 5 Integ 42 1 8 -1 False
12 5 Integ 43 1 11 11 True
12 5 Integ 44 1 17 17 True
12 5 Integ 45 2 12 12 True
12 5 Integ 46 2 13 13 True
12 5 Integ 47 3 13 18 False
12 5 Integ 48 2 6 -1 False
12 5 Integ 49 1 7 7 True
12 5 Integ 50 1 16 16 True
12 6 Simult 1 6 0 0 True
12 6 Simult 2 6 0 0 True
12 6 Simult 3 5 1 1 True
