pid block taskType trialNum soa stim resp correct
70 1 Integ 1 6 13 8 False
70 1 Integ 2 5 13 13 True
70 1 Integ 3 5 12 3 False
70 1 Integ 4 4 7 7 True
70 1 Integ 5 4 12 12 True
70 1 Integ 6 5 8 8 True
70 1 Integ 7 5 18 18 True
70 1 Integ 8 6 7 7 True
70 1 Integ 9 6 11 11 True
70 1 Integ 10 7 12 16 False
70 1 Integ 11 6 11 23 False
70 1 Integ 12 5 16 16 True
70 1 Integ 13 5 13 6 False
70 1 Integ 14 4 16 16 True
70 1 Integ 15 4 12 18 False
70 1 Integ 16 3 16 5 False
70 1 Integ 17 2 7 7 True
70 1 Integ 18 2 16 16 True
70 1 Integ 19 3 17 17 True
70 1 Integ 20 3 8 8 True
70 1 Integ 21 4 8 8 True
70 1 Integ 22 4 6 6 True
70 1 Integ 23 5 12 12 True
70 1 Integ 24 5 12 12 True
70 1 Integ 25 6 17 17 True
70 1 Integ 26 6 12 12 True
70 1 Integ 27 7 13 6 False
70 1 Integ 28 6 16 16 True
70 1 Integ 29 6 17 17 True
70 1 Integ 30 7 17 16 False
70 1 Integ 31 6 13 12 False
70 1 Integ 32 5 7 7 True
70 1 Integ 33 5 13 13 True
70 1 Integ 34 6 12 7 False
70 1 Integ 35 5 8 8 True
70 1 Integ 36 5 13 9 False
70 1 Integ 37 4 16 12 False
70 1 Integ 38 3 13 13 True
70 1 Integ 39 3 17 -1 False
70 1 Integ 40 2 12 12 True
70 1 Integ 41 2 7 7 True
70 1 Integ 42 3 6 6 True
70 1 Integ 43 3 7 7 True
70 1 Integ 44 4 18 18 True
70 1 Integ 45 4 16 7 False
70 1 Integ 46 3 11 11 True
70 1 Integ 47 3 16 16 True
70 1 Integ 48 4 11 11 True
70 1 Integ 49 4 12 6 False
70 1 Integ 50 3 11 11 True
70 2 Simult 1 6 0 0 True
70 2 Simult 2 6 1 1 True
70 2 Simult 3 5 0 1 False
70 2 Simult 4 6 1 1 True
70 2 Simult 5 6 0 0 True
70 2 Simult 6 5 0 0 True
70 2 Simult 7 5 1 1 True
70 2 Simult 8 4 0 1 False
70 2 Simult 9 5 1 1 True
70 2 Simult 10 5 1 1 True
70 2 Simult 11 4 0 0 True
70 2 Simult 12 4 0 1 False
70 2 Simult 13 5 1 1 True
70 2 Simult 14 5 1 1 True
70 2 Simult 15 4 0 0 True
70 2 Simult 16 4 0 0 True
70 2 Simult 17 3 1 1 True
70 2 Simult 18 3 1 1 True
70 2 Simult 19 2 1 1 True
70 2 Simult 20 2 1 1 True
70 2 Simult 21 1 1 1 True
70 2 Simult 22 1 1 1 True
70 2 Simult 23 1 1 0 False
70 2 Simult 24 2 0 1 False
70 2 Simult 25 3 0 1 False
70 2 Simult 26 4 0 1 False
70 2 Simult 27 5 0 0 True
