pid block taskType trialNum soa stim resp correct
28 1 Integ 1 6 16 16 True
28 1 Integ 2 6 16 8 False
28 1 Integ 3 5 16 9 False
28 1 Integ 4 4 13 13 True
28 1 Integ 5 4 7 7 True
28 1 Integ 6 5 6 6 True
28 1 Integ 7 5 12 12 True
28 1 Integ 8 6 16 16 True
28 1 Integ 9 6 7 7 True
28 1 Integ 10 7 11 16 False
28 1 Integ 11 6 16 16 True
28 1 Integ 12 6 7 7 True
28 1 Integ 13 7 13 13 True
28 1 Integ 14 7 6 6 True
28 1 Integ 15 8 6 6 True
28 1 Integ 16 8 18 18 True
28 1 Integ 17 9 17 18 False
28 1 Integ 18 8 13 9 False
28 1 Integ 19 7 13 13 True
28 1 Integ 20 7 13 13 True
28 1 Integ 21 8 17 13 False
28 1 Integ 22 7 18 18 True
28 1 Integ 23 7 11 9 False
28 1 Integ 24 6 11 9 False
28 1 Integ 25 5 12 13 False
28 1 Integ 26 4 17 17 True
28 1 Integ 27 4 6 6 True
28 1 Integ 28 5 6 6 True
28 1 Integ 29 5 6 6 True
28 1 Integ 30 6 6 6 True
28 1 Integ 31 6 17 17 True
28 1 Integ 32 7 7 7 True
28 1 Integ 33 7 7 7 True
28 1 Integ 34 8 11 11 True
28 1 Integ 35 8 17 17 True
28 1 Integ 36 9 7 7 True
28 1 Integ 37 9 13 7 False
28 1 Integ 38 8 8 6 False
28 1 Integ 39 7 11 16 False
28 1 Integ 40 6 12 12 True
28 1 Integ 41 6 6 6 True
28 1 Integ 42 7 13 6 False
28 1 Integ 43 6 8 8 True
28 1 Integ 44 6 18 18 True
28 1 Integ 45 7 13 18 False
28 1 Integ 46 6 6 6 True
28 1 Integ 47 6 13 18 False
28 1 Integ 48 5 7 7 True
28 1 Integ 49 5 16 16 True
28 1 Integ 50 6 6 6 True
28 2 Simult 1 6 0 0 True
28 2 Simult 2 6 0 1 False
28 2 Simult 3 7 1 1 True
28 2 Simult 4 7 1 1 True
28 2 Simult 5 6 0 1 False
28 2 Simult 6 7 0 1 False
28 2 Simult 7 8 0 0 True
28 2 Simult 8 8 0 0 True
28 2 Simult 9 7 0 0 True
28 2 Simult 10 7 1 1 True
28 2 Simult 11 6 1 1 True
28 2 Simult 12 6 0 1 False
28 2 Simult 13 7 1 1 True
28 2 Simult 14 7 1 0 False
28 2 Simult 15 8 1 1 True
28 2 Simult 16 8 0 1 False
28 2 Simult 17 9 0 1 False
28 2 Simult 18 10 1 0 False
28 2 Simult 19 11 0 1 False
28 2 Simult 20 12 0 1 False
28 2 Simult 21 13 1 0 False
28 2 Simult 22 14 1 1 True
28 2 Simult 23 14 0 1 False
28 2 Simult 24 15 0 0 True
28 2 Simult 25 15 0 0 True
28 2 Simult 26 14 0 -1 False
28 2 Simult 27 15 1 1 True
28 2 Simult 28 15 1 1 True
28 2 Simult 29 14 0 1 False
28 2 Simult 30 15 0 0 True
28 2 Simult 31 15 1 0 False
28 2 Simult 32 16 0 1 False
28 2 Simult 33 17 1 0 False
28 2 Simult 34 18 1 1 True
28 2 Simult 35 18 0 0 True
28 2 Simult 36 17 1 0 False
28 2 Simult 37 18 0 0 True
28 2 Simult 38 18 1 1 True
28 2 Simult 39 17 0 0 True
28 2 Simult 40 17 0 0 True
28 2 Simult 41 16 0 -1 False
28 2 Simult 42 17 1 0 False
28 2 Simult 43 18 0 0 True
28 2 Simult 44 18 1 0 False
28 2 Simult 45 19 0 0 True
