pid block taskType trialNum soa stim resp correct
36 4 Simult 27 4 1 1 True
36 4 Simult 28 4 1 1 True
36 4 Simult 29 2 1 1 True
36 4 Simult 30 2 0 1 False
36 4 Simult 31 4 1 0 False
36 4 Simult 32 6 0 0 True
36 4 Simult 33 6 0 0 True
36 4 Simult 34 4 0 1 False
36 4 Simult 35 6 0 1 False
36 4 Simult 36 8 1 1 True
36 4 Simult 37 8 0 0 True
36 4 Simult 38 6 0 1 False
36 4 Simult 39 8 1 1 True
36 4 Simult 40 8 0 0 True
36 4 Simult 41 6 1 1 True
36 4 Simult 42 6 1 1 True
36 4 Simult 43 4 1 1 True
36 4 Simult 44 4 0 0 True
36 4 Simult 45 2 0 1 False
36 4 Simult 46 4 1 1 True
36 4 Simult 47 4 0 1 False
36 4 Simult 48 6 1 1 True
36 4 Simult 49 6 0 0 True
36 4 Simult 50 4 0 1 False
36 5 Integ 1 6 16 16 True
36 5 Integ 2 6 17 17 True
36 5 Integ 3 8 13 7 False
36 5 Integ 4 7 12 13 False
36 5 Integ 5 6 11 6 False
36 5 Integ 6 5 17 17 True
36 5 Integ 7 5 18 18 True
36 5 Integ 8 7 8 8 True
36 5 Integ 9 7 16 7 False
36 5 Integ 10 6 12 7 False
36 5 Integ 11 5 6 6 True
36 5 Integ 12 5 18 18 True
36 5 Integ 13 7 11 16 False
36 5 Integ 14 6 6 6 True
36 5 Integ 15 6 17 6 False
36 5 Integ 16 5 17 17 True
36 5 Integ 17 5 13 13 True
36 5 Integ 18 7 17 12 False
36 5 Integ 19 6 11 11 True
36 5 Integ 20 6 16 7 False
36 5 Integ 21 5 11 11 True
36 5 Integ 22 5 16 6 False
36 5 Integ 23 4 13 13 True
36 5 Integ 24 4 11 11 True
36 5 Integ 25 6 11 11 True
36 5 Integ 26 6 16 7 False
36 5 Integ 27 5 13 13 True
36 5 Integ 28 5 8 8 True
36 5 Integ 29 7 16 6 False
36 5 Integ 30 6 13 13 True
36 5 Integ 31 6 16 13 False
36 5 Integ 32 5 13 8 False
36 5 Integ 33 4 18 18 True
36 5 Integ 34 4 16 16 True
36 5 Integ 35 6 11 11 True
36 5 Integ 36 6 6 6 True
36 5 Integ 37 8 13 18 False
36 5 Integ 38 7 6 11 False
36 5 Integ 39 6 13 6 False
36 5 Integ 40 5 13 13 True
36 5 Integ 41 5 17 18 False
36 5 Integ 42 4 11 6 False
36 5 Integ 43 3 6 8 False
36 5 Integ 44 2 7 7 True
36 5 Integ 45 2 11 11 True
36 5 Integ 46 4 18 18 True
36 5 Integ 47 4 17 17 True
36 5 Integ 48 6 7 7 True
36 5 Integ 49 6 6 6 True
36 5 Integ 50 8 6 6 True
36 6 Simult 1 6 0 0 True
36 6 Simult 2 6 0 1 False
36 6 Simult 3 8 1 1 True
36 6 Simult 4 8 1 1 True
36 6 Simult 5 6 1 1 True
36 6 Simult 6 6 1 0 False
36 6 Simult 7 8 1 1 True
36 6 Simult 8 8 0 0 True
36 6 Simult 9 6 0 1 False
36 6 Simult 10 8 1 1 True
36 6 Simult 11 8 1 1 True
36 6 Simult 12 6 0 1 False
36 6 Simult 13 8 0 0 True
36 6 Simult 14 8 0 0 True
36 6 Simult 15 6 0 1 False
36 6 Simult 16 8 0 0 True
36 6 Simult 17 8 0 1 False
36 6 Simult 18 8 1 1 True
36 6 Simult 19 8 0 0 True
36 6 Simult 20 6 1 1 True
36 6 Simult 21 6 1 1 True
36 6 Simult 22 4 0 0 True
36 6 Simult 23 4 0 1 False
36 6 Simult 24 6 1 1 True
36 6 Simult 25 6 1 1 True
36 6 Simult 26 4 1 1 True
36 6 Simult 27 4 1 1 True
36 6 Simult 28 2 1 1 True
36 6 Simult 29 2 0 1 False
36 6 Simult 30 4 0 1 False
36 6 Simult 31 6 1 1 True
36 6 Simult 32 6 0 0 True
36 6 Simult 33 4 0 0 True
36 6 Simult 34 4 1 1 True
36 6 Simult 35 2 0 1 False
36 6 Simult 36 4 0 1 False
36 6 Simult 37 6 0 0 True
36 6 Simult 38 6 1 1 True
36 6 Simult 39 4 0 0 True
36 6 Simult 40 4 0 0 True
36 6 Simult 41 2 1 1 True
36 6 Simult 42 2 0 1 False
36 6 Simult 43 4 1 1 True
36 6 Simult 44 4 1 1 True
36 6 Simult 45 2 1 1 True
36 6 Simult 46 2 1 1 True
36 6 Simult 47 0 0 1 False
36 6 Simult 48 2 0 1 False
36 6 Simult 49 4 1 1 True
36 6 Simult 50 4 0 1 False
