block_type,set_index,set_size,trial_in_set,stim_green,stim_yellow,rt_display,recall_value
practice,1,2,1,5,5,5.281380599946715,5
practice,1,2,2,9,9,7.1166693000122905,9
practice,2,2,1,9,8,6.983437999966554,9
practice,2,2,2,9,9,4.966474000015296,9
practice,3,2,1,6,5,4.6108953999355435,6
practice,3,2,2,6,6,3.720808699959889,6
cspan_main,4,3,1,5,9,3.970820299931802,5
cspan_main,4,3,2,7,6,4.3699586999136955,7
cspan_main,4,3,3,5,5,4.161136700073257,5
cspan_main,5,3,1,9,5,6.063395400065929,9
cspan_main,5,3,2,6,8,5.4056935999542475,6
cspan_main,5,3,3,8,5,5.134682199917734,8
cspan_main,6,3,1,8,6,9.070279199979268,8
cspan_main,6,3,2,8,8,4.901559499907307,8
cspan_main,6,3,3,8,7,4.1325912000611424,8
cspan_main,7,4,1,7,8,4.226685200002976,7
cspan_main,7,4,2,5,7,3.015948300017044,5
cspan_main,7,4,3,7,7,4.31694469996728,7
cspan_main,7,4,4,9,9,8.666916899965145,9
cspan_main,8,4,1,5,7,5.0201545000309125,5
cspan_main,8,4,2,6,6,3.6216410000342876,6
cspan_main,8,4,3,7,7,4.631285300012678,7
cspan_main,8,4,4,9,9,5.366359599982388,9
cspan_main,9,4,1,7,8,4.408623899915256,5
cspan_main,9,4,2,6,6,8.555361600010656,5
cspan_main,9,4,3,5,5,5.529374900041148,6
cspan_main,9,4,4,7,6,5.754862200003117,7
cspan_main,10,5,1,6,9,6.6760682999156415,6
cspan_main,10,5,2,8,7,5.387803299934603,7
cspan_main,10,5,3,6,9,4.939797500032,6
cspan_main,10,5,4,7,5,6.546805700054392,8
cspan_main,10,5,5,7,9,8.841180199990049,7
cspan_main,11,5,1,6,5,7.420331900008023,6
cspan_main,11,5,2,6,7,4.34000460000243,6
cspan_main,11,5,3,7,8,4.456145800068043,7
cspan_main,11,5,4,8,6,4.114065399975516,8
cspan_main,11,5,5,9,6,5.688281000009738,9
cspan_main,12,5,1,7,8,10.75916820007842,6
cspan_main,12,5,2,5,5,6.256467500003055,5
cspan_main,12,5,3,9,6,7.399105999968015,9
cspan_main,12,5,4,9,6,5.197912300005555,9
cspan_main,12,5,5,6,6,3.87888880004175,5
cspan_main,13,6,1,8,9,7.887420699931681,8
cspan_main,13,6,2,6,6,3.9651036000577733,6
cspan_main,13,6,3,5,6,6.193121100077406,5
cspan_main,13,6,4,8,9,6.572011100011878,8
cspan_main,13,6,5,5,5,2.602507899980992,5
cspan_main,13,6,6,7,6,6.44623809994664,7
cspan_main,14,6,1,6,7,3.8549836999736726,5
cspan_main,14,6,2,8,9,4.610692300018854,7
cspan_main,14,6,3,8,7,4.677509999950416,8
cspan_main,14,6,4,6,8,3.4368838000809774,6
cspan_main,14,6,5,8,5,4.888575699995272,8
cspan_main,14,6,6,6,5,3.9940172999631613,6
cspan_main,15,6,1,5,8,7.918102599913254,5
cspan_main,15,6,2,9,9,6.392740800045431,9
cspan_main,15,6,3,9,6,5.928528999909759,9
cspan_main,15,6,4,9,9,5.985466300044209,8
cspan_main,15,6,5,5,8,4.392577100079507,5
cspan_main,15,6,6,5,7,7.642308000009507,9
cspan_main,16,7,1,9,8,9.80481120001059,9
cspan_main,16,7,2,5,5,4.593906300025992,5
cspan_main,16,7,3,6,8,4.323119200067595,6
cspan_main,16,7,4,7,9,4.776367699960247,7
cspan_main,16,7,5,6,6,5.911178100039251,7
cspan_main,16,7,6,6,8,6.430893799988553,6
cspan_main,16,7,7,5,7,2.932790099992417,5
cspan_main,17,7,1,5,8,7.265673500020057,5
cspan_main,17,7,2,5,9,3.1861638999544084,8
cspan_main,17,7,3,8,7,5.65905469993595,8
cspan_main,17,7,4,6,5,4.082333000027575,6
cspan_main,17,7,5,6,8,4.200778399943374,6
cspan_main,17,7,6,7,9,3.813037500018254,7
cspan_main,17,7,7,8,5,3.4116540999384597,8
cspan_main,18,7,1,8,9,6.320103600039147,5
cspan_main,18,7,2,6,7,7.781013299943879,6
cspan_main,18,7,3,9,5,5.535513499984518,4
cspan_main,18,7,4,7,8,3.7301554000005126,7
cspan_main,18,7,5,8,8,4.2076777999754995,7
cspan_main,18,7,6,7,8,3.973949300008826,8
cspan_main,18,7,7,7,7,3.822600500076078,8
