block_type,set_index,set_size,trial_in_set,stim_green,stim_yellow,rt_display,recall_value
practice,1,2,1,7,6,6.105013200081885,7
practice,1,2,2,5,5,4.12269870005548,5
practice,2,2,1,5,6,6.8549098999938,5
practice,2,2,2,8,8,3.9139906000345945,8
practice,3,2,1,7,7,2.641539700096473,7
practice,3,2,2,5,7,2.016485200030729,5
cspan_main,4,3,1,7,9,3.6774458000436425,7
cspan_main,4,3,2,6,6,2.569260700023733,6
cspan_main,4,3,3,5,6,1.7152200998971239,5
cspan_main,5,3,1,8,6,2.929613299900666,8
cspan_main,5,3,2,8,9,3.881815299973823,8
cspan_main,5,3,3,9,9,2.83882059995085,9
cspan_main,6,3,1,7,6,2.760959599982016,7
cspan_main,6,3,2,6,6,2.2828834999818355,6
cspan_main,6,3,3,5,7,2.2685457000043243,5
cspan_main,7,4,1,7,6,2.4328676000004634,7
cspan_main,7,4,2,9,6,3.463604399934411,9
cspan_main,7,4,3,7,5,3.4021195999812335,5
cspan_main,7,4,4,5,7,2.5898244000272825,7
cspan_main,8,4,1,8,7,5.322055700002238,8
cspan_main,8,4,2,5,7,2.9602509000105783,5
cspan_main,8,4,3,8,8,4.42246819997672,8
cspan_main,8,4,4,8,8,3.6208091999869794,8
cspan_main,9,4,1,8,8,6.1717919000657275,8
cspan_main,9,4,2,9,8,4.638253999990411,9
cspan_main,9,4,3,6,6,3.8912252000300214,6
cspan_main,9,4,4,5,9,3.8073180000064895,5
cspan_main,10,5,1,5,8,1.8474676000187173,5
cspan_main,10,5,2,7,7,3.251937899971381,7
cspan_main,10,5,3,9,5,4.259837900055572,9
cspan_main,10,5,4,8,5,3.6196746999630705,8
cspan_main,10,5,5,8,6,7.179687800002284,5
cspan_main,11,5,1,5,5,2.4602885000640526,5
cspan_main,11,5,2,6,6,2.8055738999973983,6
cspan_main,11,5,3,6,9,2.644262499990873,6
cspan_main,11,5,4,6,9,2.4226996999932453,6
cspan_main,11,5,5,7,7,5.723224200075492,7
cspan_main,12,5,1,7,6,3.1749280999647453,7
cspan_main,12,5,2,6,6,3.776641899952665,6
cspan_main,12,5,3,5,8,1.4593237999361008,9
cspan_main,12,5,4,9,5,7.58810750010889,5
cspan_main,12,5,5,5,9,4.869885099935345,5
cspan_main,13,6,1,6,6,3.0563972999807447,7
cspan_main,13,6,2,8,8,3.2071849000640213,9
cspan_main,13,6,3,7,5,2.38820659997873,7
cspan_main,13,6,4,9,6,5.972799099981785,5
cspan_main,13,6,5,5,7,1.9048058000626042,5
cspan_main,13,6,6,8,8,4.132043500081636,8
cspan_main,14,6,1,9,8,3.152222700067796,9
cspan_main,14,6,2,8,7,3.363102199975401,8
cspan_main,14,6,3,5,8,2.37394140008837,4
cspan_main,14,6,4,6,7,2.4038316999794915,6
cspan_main,14,6,5,8,5,2.7468001999659464,
cspan_main,14,6,6,8,9,0.3340267000021413,
cspan_main,15,6,1,8,9,4.3021035999991,8
cspan_main,15,6,2,7,8,3.504588900017552,7
cspan_main,15,6,3,8,9,3.510454499977641,8
cspan_main,15,6,4,6,9,2.7096843000035733,6
cspan_main,15,6,5,8,6,4.694743999978527,8
cspan_main,15,6,6,8,5,2.090419100015424,8
cspan_main,16,7,1,7,6,2.8066334000322968,7
cspan_main,16,7,2,5,6,2.1720312999095768,5
cspan_main,16,7,3,7,7,3.078245499986224,7
cspan_main,16,7,4,5,9,1.7155715000117198,5
cspan_main,16,7,5,5,7,1.5306929000653327,8
cspan_main,16,7,6,8,6,3.7834297000663355,7
cspan_main,16,7,7,5,6,1.7270527000073344,5
cspan_main,17,7,1,5,9,2.425893499981612,5
cspan_main,17,7,2,8,7,2.0917538000503555,8
cspan_main,17,7,3,6,5,2.4378281000535935,6
cspan_main,17,7,4,6,6,1.3878762000240386,6
cspan_main,17,7,5,5,9,3.5938328999327496,5
cspan_main,17,7,6,9,9,1.622079799999483,
cspan_main,17,7,7,5,6,0.5835019999649376,
cspan_main,18,7,1,5,8,1.8168036999413744,5
cspan_main,18,7,2,7,7,2.3293859999394044,7
cspan_main,18,7,3,9,8,6.015930800000206,9
cspan_main,18,7,4,5,6,1.3807576999533921,5
cspan_main,18,7,5,5,5,9.345794699969701,5
cspan_main,18,7,6,9,5,5.6066525999922305,
cspan_main,18,7,7,5,7,0.44749169994611293,
